Date,Match,Result,Score,Competition
26 Aug 1922,Manchester United v Crystal Palace,W,2-1,League Division Two
28 Aug 1922,Sheffield Wednesday v Manchester United,L,1-0,League Division Two
02 Sep 1922,Crystal Palace v Manchester United,W,2-3,League Division Two
04 Sep 1922,Manchester United v Sheffield Wednesday,W,1-0,League Division Two
09 Sep 1922,Wolverhampton Wanderers v Manchester United,W,0-1,League Division Two
16 Sep 1922,Manchester United v Wolverhampton Wanderers,W,1-0,League Division Two
23 Sep 1922,Coventry City v Manchester United,L,2-0,League Division Two
30 Sep 1922,Manchester United v Coventry City,W,2-1,League Division Two
07 Oct 1922,Manchester United v Port Vale,L,1-2,League Division Two
14 Oct 1922,Port Vale v Manchester United,L,1-0,League Division Two
21 Oct 1922,Manchester United v Fulham,D,1-1,League Division Two
28 Oct 1922,Fulham v Manchester United,D,0-0,League Division Two
04 Nov 1922,Manchester United v Leyton Orient,D,0-0,League Division Two
11 Nov 1922,Leyton Orient v Manchester United,D,1-1,League Division Two
18 Nov 1922,Bury v Manchester United,D,2-2,League Division Two
25 Nov 1922,Manchester United v Bury,L,0-1,League Division Two
02 Dec 1922,Manchester United v Rotherham County,W,3-0,League Division Two
09 Dec 1922,Rotherham County v Manchester United,D,1-1,League Division Two
16 Dec 1922,Manchester United v Stockport County,W,1-0,League Division Two
23 Dec 1922,Stockport County v Manchester United,L,1-0,League Division Two
25 Dec 1922,Manchester United v West Ham United,L,1-2,League Division Two
26 Dec 1922,West Ham United v Manchester United,W,0-2,League Division Two
30 Dec 1922,Hull City v Manchester United,L,2-1,League Division Two
01 Jan 1923,Manchester United v Barnsley,W,1-0,League Division Two
06 Jan 1923,Manchester United v Hull City,W,3-2,League Division Two
13 Jan 1923,Bradford City v Manchester United,D,1-1,FA Cup
17 Jan 1923,Manchester United v Bradford City,W,2-0,FA Cup
20 Jan 1923,Manchester United v Leeds United,D,0-0,League Division Two
27 Jan 1923,Leeds United v Manchester United,W,0-1,League Division Two
03 Feb 1923,Tottenham Hotspur v Manchester United,L,4-0,FA Cup
10 Feb 1923,Notts County v Manchester United,W,1-6,League Division Two
17 Feb 1923,Manchester United v Derby County,D,0-0,League Division Two
21 Feb 1923,Manchester United v Notts County,D,1-1,League Division Two
03 Mar 1923,Manchester United v Southampton,L,1-2,League Division Two
14 Mar 1923,Derby County v Manchester United,D,1-1,League Division Two
17 Mar 1923,Bradford City v Manchester United,D,1-1,League Division Two
21 Mar 1923,Manchester United v Bradford City,D,1-1,League Division Two
30 Mar 1923,Manchester United v South Shields AFC,W,3-0,League Division Two
31 Mar 1923,Blackpool v Manchester United,L,1-0,League Division Two
02 Apr 1923,South Shields AFC v Manchester United,W,0-3,League Division Two
07 Apr 1923,Manchester United v Blackpool,W,2-1,League Division Two
11 Apr 1923,Southampton v Manchester United,D,0-0,League Division Two
14 Apr 1923,Leicester City v Manchester United,W,0-1,League Division Two
21 Apr 1923,Manchester United v Leicester City,L,0-2,League Division Two
28 Apr 1923,Barnsley v Manchester United,D,2-2,League Division Two
