Date,Match,Result,Score,Competition
13 Aug 1977,Liverpool v Manchester United,D,0-0,FA Charity Shield
20 Aug 1977,Birmingham City v Manchester United,W,1-4,League Division One
24 Aug 1977,Manchester United v Coventry City,W,2-1,League Division One
27 Aug 1977,Manchester United v Ipswich Town,D,0-0,League Division One
30 Aug 1977,Arsenal v Manchester United,L,3-2,League Cup
03 Sep 1977,Derby County v Manchester United,W,0-1,League Division One
10 Sep 1977,Manchester City v Manchester United,L,3-1,League Division One
14 Sep 1977,Saint Etienne v Manchester United,D,1-1,UEFA European Cup Winners Cup
17 Sep 1977,Manchester United v Chelsea,L,0-1,League Division One
24 Sep 1977,Leeds United v Manchester United,D,1-1,League Division One
01 Oct 1977,Manchester United v Liverpool,W,2-0,League Division One
05 Oct 1977,Saint Etienne v Manchester United,W,0-2Agg: 1-3,UEFA European Cup Winners Cup
08 Oct 1977,Middlesbrough v Manchester United,L,2-1,League Division One
15 Oct 1977,Manchester United v Newcastle United,W,3-2,League Division One
19 Oct 1977,FC Porto v Manchester United,L,4-0,UEFA European Cup Winners Cup
22 Oct 1977,West Bromwich Albion v Manchester United,L,4-0,League Division One
29 Oct 1977,Aston Villa v Manchester United,L,2-1,League Division One
02 Nov 1977,Manchester United v FC Porto,W,5-2Agg: 5-6,UEFA European Cup Winners Cup
05 Nov 1977,Manchester United v Arsenal,L,1-2,League Division One
12 Nov 1977,Nottingham Forest v Manchester United,L,2-1,League Division One
19 Nov 1977,Manchester United v Norwich City,W,1-0,League Division One
26 Nov 1977,Queens Park Rangers v Manchester United,D,2-2,League Division One
03 Dec 1977,Manchester United v Wolverhampton Wanderers,W,3-1,League Division One
10 Dec 1977,West Ham United v Manchester United,L,2-1,League Division One
17 Dec 1977,Manchester United v Nottingham Forest,L,0-4,League Division One
26 Dec 1977,Everton v Manchester United,W,2-6,League Division One
27 Dec 1977,Manchester United v Leicester City,W,3-1,League Division One
31 Dec 1977,Coventry City v Manchester United,L,3-0,League Division One
02 Jan 1978,Manchester United v Birmingham City,L,1-2,League Division One
07 Jan 1978,Carlisle United v Manchester United,D,1-1,FA Cup
11 Jan 1978,Manchester United v Carlisle United,W,4-2,FA Cup
14 Jan 1978,Ipswich Town v Manchester United,W,1-2,League Division One
21 Jan 1978,Manchester United v Derby County,W,4-0,League Division One
28 Jan 1978,Manchester United v West Bromwich Albion,D,1-1,FA Cup
01 Feb 1978,West Bromwich Albion v Manchester United,L,3-2,FA Cup
08 Feb 1978,Manchester United v Bristol City,D,1-1,League Division One
11 Feb 1978,Chelsea v Manchester United,D,2-2,League Division One
25 Feb 1978,Liverpool v Manchester United,L,3-1,League Division One
01 Mar 1978,Manchester United v Leeds United,L,0-1,League Division One
04 Mar 1978,Manchester United v Middlesbrough,D,0-0,League Division One
11 Mar 1978,Newcastle United v Manchester United,D,2-2,League Division One
15 Mar 1978,Manchester United v Manchester City,D,2-2,League Division One
18 Mar 1978,Manchester United v West Bromwich Albion,D,1-1,League Division One
25 Mar 1978,Leicester City v Manchester United,W,2-3,League Division One
27 Mar 1978,Manchester United v Everton,L,1-2,League Division One
29 Mar 1978,Manchester United v Aston Villa,D,1-1,League Division One
01 Apr 1978,Arsenal v Manchester United,L,3-1,League Division One
08 Apr 1978,Manchester United v Queens Park Rangers,W,3-1,League Division One
15 Apr 1978,Norwich City v Manchester United,W,1-3,League Division One
22 Apr 1978,Manchester United v West Ham United,W,3-0,League Division One
25 Apr 1978,Bristol City v Manchester United,W,0-1,League Division One
29 Apr 1978,Wolverhampton Wanderers v Manchester United,L,2-1,League Division One
