Date,Match,Result,Score,Competition
23 Aug 1952,Manchester United v Chelsea,W,2-0,League Division One
27 Aug 1952,Arsenal v Manchester United,L,2-1,League Division One
30 Aug 1952,Manchester City v Manchester United,L,2-1,League Division One
03 Sep 1952,Manchester United v Arsenal,D,0-0,League Division One
06 Sep 1952,Portsmouth v Manchester United,L,2-0,League Division One
10 Sep 1952,Derby County v Manchester United,W,2-3,League Division One
13 Sep 1952,Manchester United v Bolton Wanderers,W,1-0,League Division One
20 Sep 1952,Aston Villa v Manchester United,D,3-3,League Division One
24 Sep 1952,Manchester United v Newcastle United,W,4-2,FA Charity Shield
27 Sep 1952,Manchester United v Sunderland,L,0-1,League Division One
04 Oct 1952,Wolverhampton Wanderers v Manchester United,L,6-2,League Division One
11 Oct 1952,Manchester United v Stoke City,L,0-2,League Division One
18 Oct 1952,Preston North End v Manchester United,W,0-5,League Division One
25 Oct 1952,Manchester United v Burnley,L,1-3,League Division One
01 Nov 1952,Tottenham Hotspur v Manchester United,W,1-2,League Division One
08 Nov 1952,Manchester United v Sheffield Wednesday,D,1-1,League Division One
15 Nov 1952,Cardiff City v Manchester United,W,1-2,League Division One
22 Nov 1952,Manchester United v Newcastle United,D,2-2,League Division One
29 Nov 1952,West Bromwich Albion v Manchester United,L,3-1,League Division One
06 Dec 1952,Manchester United v Middlesbrough,W,3-2,League Division One
13 Dec 1952,Liverpool v Manchester United,W,1-2,League Division One
20 Dec 1952,Chelsea v Manchester United,W,2-3,League Division One
25 Dec 1952,Blackpool v Manchester United,D,0-0,League Division One
26 Dec 1952,Manchester United v Blackpool,W,2-1,League Division One
01 Jan 1953,Manchester United v Derby County,W,1-0,League Division One
03 Jan 1953,Manchester United v Manchester City,D,1-1,League Division One
10 Jan 1953,Millwall v Manchester United,W,0-1,FA Cup
17 Jan 1953,Manchester United v Portsmouth,W,1-0,League Division One
24 Jan 1953,Bolton Wanderers v Manchester United,L,2-1,League Division One
31 Jan 1953,Manchester United v Walthamstow Avenue,D,1-1,FA Cup
05 Feb 1953,Walthamstow Avenue v Manchester United,W,2-5,FA Cup
07 Feb 1953,Manchester United v Aston Villa,W,3-1,League Division One
14 Feb 1953,Everton v Manchester United,L,2-1,FA Cup
18 Feb 1953,Sunderland v Manchester United,D,2-2,League Division One
21 Feb 1953,Manchester United v Wolverhampton Wanderers,L,0-3,League Division One
28 Feb 1953,Stoke City v Manchester United,L,3-1,League Division One
07 Mar 1953,Manchester United v Preston North End,W,5-2,League Division One
14 Mar 1953,Burnley v Manchester United,L,2-1,League Division One
25 Mar 1953,Manchester United v Tottenham Hotspur,W,3-2,League Division One
28 Mar 1953,Sheffield Wednesday v Manchester United,D,0-0,League Division One
03 Apr 1953,Charlton Athletic v Manchester United,D,2-2,League Division One
04 Apr 1953,Manchester United v Cardiff City,L,1-4,League Division One
06 Apr 1953,Manchester United v Charlton Athletic,W,3-2,League Division One
11 Apr 1953,Newcastle United v Manchester United,W,1-2,League Division One
18 Apr 1953,Manchester United v West Bromwich Albion,D,2-2,League Division One
20 Apr 1953,Manchester United v Liverpool,W,3-1,League Division One
25 Apr 1953,Middlesbrough v Manchester United,L,5-0,League Division One
