Date,Match,Result,Score,Competition
02 Sep 1893,Newton Heath v Burnley,W,3-2,League Division One
09 Sep 1893,West Bromwich Albion v Newton Heath,L,3-1,League Division One
16 Sep 1893,Sheffield Wednesday v Newton Heath,W,0-1,League Division One
23 Sep 1893,Newton Heath v Nottingham Forest,D,1-1,League Division One
30 Sep 1893,Darwen v Newton Heath,L,1-0,League Division One
07 Oct 1893,Derby County v Newton Heath,L,2-0,League Division One
14 Oct 1893,Newton Heath v West Bromwich Albion,W,4-1,League Division One
21 Oct 1893,Burnley v Newton Heath,L,4-1,League Division One
28 Oct 1893,Wolverhampton Wanderers v Newton Heath,L,2-0,League Division One
04 Nov 1893,Newton Heath v Darwen,L,0-1,League Division One
11 Nov 1893,Newton Heath v Wolverhampton Wanderers,W,1-0,League Division One
25 Nov 1893,Sheffield United v Newton Heath,L,3-1,League Division One
02 Dec 1893,Newton Heath v Everton,L,0-3,League Division One
06 Dec 1893,Sunderland v Newton Heath,L,4-1,League Division One
09 Dec 1893,Bolton Wanderers v Newton Heath,L,2-0,League Division One
16 Dec 1893,Newton Heath v Aston Villa,L,1-3,League Division One
23 Dec 1893,Preston North End v Newton Heath,L,2-0,League Division One
06 Jan 1894,Everton v Newton Heath,L,2-0,League Division One
13 Jan 1894,Newton Heath v Sheffield Wednesday,L,1-2,League Division One
27 Jan 1894,Newton Heath v Middlesbrough,W,4-0,FA Cup
03 Feb 1894,Aston Villa v Newton Heath,L,5-1,League Division One
10 Feb 1894,Newton Heath v Blackburn Rovers,D,0-0,FA Cup
17 Feb 1894,Blackburn Rovers v Newton Heath,L,5-1,FA Cup
03 Mar 1894,Newton Heath v Sunderland,L,2-4,League Division One
10 Mar 1894,Newton Heath v Sheffield United,L,0-2,League Division One
12 Mar 1894,Newton Heath v Blackburn Rovers,W,5-1,League Division One
17 Mar 1894,Newton Heath v Derby County,L,2-6,League Division One
23 Mar 1894,Newton Heath v Stoke,W,6-2,League Division One
24 Mar 1894,Newton Heath v Bolton Wanderers,D,2-2,League Division One
26 Mar 1894,Blackburn Rovers v Newton Heath,L,4-0,League Division One
31 Mar 1894,Stoke v Newton Heath,L,3-1,League Division One
07 Apr 1894,Nottingham Forest v Newton Heath,L,2-0,League Division One
14 Apr 1894,Newton Heath v Preston North End,L,1-3,League Division One
28 Apr 1894,Liverpool v Newton Heath,L,2-0,Test Match
