Date,Match,Result,Score,Competition
07 Aug 2011,Manchester City v Manchester United,W,2-3,FA Community Shield
14 Aug 2011,West Bromwich Albion v Manchester United,W,1-2,Premier League
22 Aug 2011,Manchester United v Tottenham Hotspur,W,3-0,Premier League
28 Aug 2011,Manchester United v Arsenal,W,8-2,Premier League
10 Sep 2011,Bolton Wanderers v Manchester United,W,0-5,Premier League
14 Sep 2011,Benfica v Manchester United,D,1-1,UEFA Champions League
18 Sep 2011,Manchester United v Chelsea,W,3-1,Premier League
20 Sep 2011,Leeds United v Manchester United,W,0-3,League Cup
24 Sep 2011,Stoke City v Manchester United,D,1-1,Premier League
27 Sep 2011,Manchester United v FC Basel,D,3-3,UEFA Champions League
01 Oct 2011,Manchester United v Norwich City,W,2-0,Premier League
15 Oct 2011,Liverpool v Manchester United,D,1-1,Premier League
18 Oct 2011,Otelul Galati v Manchester United,W,0-2,UEFA Champions League
23 Oct 2011,Manchester United v Manchester City,L,1-6,Premier League
25 Oct 2011,Aldershot Town v Manchester United,W,0-3,League Cup
29 Oct 2011,Everton v Manchester United,W,0-1,Premier League
02 Nov 2011,Manchester United v Otelul Galati,W,2-0,UEFA Champions League
05 Nov 2011,Manchester United v Sunderland,W,1-0,Premier League
19 Nov 2011,Swansea City v Manchester United,W,0-1,Premier League
22 Nov 2011,Manchester United v Benfica,D,2-2,UEFA Champions League
26 Nov 2011,Manchester United v Newcastle United,D,1-1,Premier League
30 Nov 2011,Manchester United v Crystal Palace,L,1-2,League Cup
03 Dec 2011,Aston Villa v Manchester United,W,0-1,Premier League
07 Dec 2011,FC Basel v Manchester United,L,2-1,UEFA Champions League
10 Dec 2011,Manchester United v Wolverhampton Wanderers,W,4-1,Premier League
18 Dec 2011,Queens Park Rangers v Manchester United,W,0-2,Premier League
21 Dec 2011,Fulham v Manchester United,W,0-5,Premier League
26 Dec 2011,Manchester United v Wigan Athletic,W,5-0,Premier League
31 Dec 2011,Manchester United v Blackburn Rovers,L,2-3,Premier League
04 Jan 2012,Newcastle United v Manchester United,L,3-0,Premier League
08 Jan 2012,Manchester City v Manchester United,W,2-3,FA Cup
14 Jan 2012,Manchester United v Bolton Wanderers,W,3-0,Premier League
22 Jan 2012,Arsenal v Manchester United,W,1-2,Premier League
28 Jan 2012,Liverpool v Manchester United,L,2-1,FA Cup
31 Jan 2012,Manchester United v Stoke City,W,2-0,Premier League
05 Feb 2012,Chelsea v Manchester United,D,3-3,Premier League
11 Feb 2012,Manchester United v Liverpool,W,2-1,Premier League
16 Feb 2012,Ajax v Manchester United,W,0-2,UEFA Europa League
23 Feb 2012,Manchester United v Ajax,L,1-2Agg: 3-2,UEFA Europa League
26 Feb 2012,Norwich City v Manchester United,W,1-2,Premier League
04 Mar 2012,Tottenham Hotspur v Manchester United,W,1-3,Premier League
08 Mar 2012,Manchester United v Athletic Bilbao,L,2-3,UEFA Europa League
11 Mar 2012,Manchester United v West Bromwich Albion,W,2-0,Premier League
15 Mar 2012,Athletic Bilbao v Manchester United,L,2-1Agg: 5-3,UEFA Europa League
18 Mar 2012,Wolverhampton Wanderers v Manchester United,W,0-5,Premier League
26 Mar 2012,Manchester United v Fulham,W,1-0,Premier League
02 Apr 2012,Blackburn Rovers v Manchester United,W,0-2,Premier League
08 Apr 2012,Manchester United v Queens Park Rangers,W,2-0,Premier League
11 Apr 2012,Wigan Athletic v Manchester United,L,1-0,Premier League
15 Apr 2012,Manchester United v Aston Villa,W,4-0,Premier League
22 Apr 2012,Manchester United v Everton,D,4-4,Premier League
30 Apr 2012,Manchester City v Manchester United,L,1-0,Premier League
06 May 2012,Manchester United v Swansea City,W,2-0,Premier League
13 May 2012,Sunderland v Manchester United,W,0-1,Premier League
