Date,Match,Result,Score,Competition
24 Aug 1957,Leicester City v Manchester United,W,0-3,League Division One
28 Aug 1957,Manchester United v Everton,W,3-0,League Division One
31 Aug 1957,Manchester United v Manchester City,W,4-1,League Division One
04 Sep 1957,Everton v Manchester United,D,3-3,League Division One
07 Sep 1957,Manchester United v Leeds United,W,5-0,League Division One
09 Sep 1957,Blackpool v Manchester United,W,1-4,League Division One
14 Sep 1957,Bolton Wanderers v Manchester United,L,4-0,League Division One
18 Sep 1957,Manchester United v Blackpool,L,1-2,League Division One
21 Sep 1957,Manchester United v Arsenal,W,4-2,League Division One
25 Sep 1957,Shamrock Rovers v Manchester United,W,0-6,European Cup
28 Sep 1957,Wolverhampton Wanderers v Manchester United,L,3-1,League Division One
02 Oct 1957,Manchester United v Shamrock Rovers,W,3-2Agg: 9-2,European Cup
05 Oct 1957,Manchester United v Aston Villa,W,4-1,League Division One
12 Oct 1957,Nottingham Forest v Manchester United,W,1-2,League Division One
19 Oct 1957,Manchester United v Portsmouth,L,0-3,League Division One
22 Oct 1957,Manchester United v Aston Villa,W,4-0,FA Charity Shield
26 Oct 1957,West Bromwich Albion v Manchester United,L,4-3,League Division One
02 Nov 1957,Manchester United v Burnley,W,1-0,League Division One
09 Nov 1957,Preston North End v Manchester United,D,1-1,League Division One
16 Nov 1957,Manchester United v Sheffield Wednesday,W,2-1,League Division One
20 Nov 1957,Manchester United v Dukla Praha,W,3-0,European Cup
23 Nov 1957,Newcastle United v Manchester United,W,1-2,League Division One
30 Nov 1957,Manchester United v Tottenham Hotspur,L,3-4,League Division One
04 Dec 1957,Dukla Praha v Manchester United,L,1-0Agg: 1-3,European Cup
07 Dec 1957,Birmingham City v Manchester United,D,3-3,League Division One
14 Dec 1957,Manchester United v Chelsea,L,0-1,League Division One
21 Dec 1957,Manchester United v Leicester City,W,4-0,League Division One
25 Dec 1957,Manchester United v Luton Town,W,3-0,League Division One
26 Dec 1957,Luton Town v Manchester United,D,2-2,League Division One
28 Dec 1957,Manchester City v Manchester United,D,2-2,League Division One
04 Jan 1958,Workington v Manchester United,W,1-3,FA Cup
11 Jan 1958,Leeds United v Manchester United,D,1-1,League Division One
14 Jan 1958,Manchester United v Crvena Zvezda,W,2-1,European Cup
18 Jan 1958,Manchester United v Bolton Wanderers,W,7-2,League Division One
25 Jan 1958,Manchester United v Ipswich Town,W,2-0,FA Cup
01 Feb 1958,Arsenal v Manchester United,W,4-5,League Division One
05 Feb 1958,Crvena Zvezda v Manchester United,D,3-3Agg: 4-5,European Cup
19 Feb 1958,Manchester United v Sheffield Wednesday,W,3-0,FA Cup
22 Feb 1958,Manchester United v Nottingham Forest,D,1-1,League Division One
01 Mar 1958,West Bromwich Albion v Manchester United,D,2-2,FA Cup
05 Mar 1958,Manchester United v West Bromwich Albion,W,1-0,FA Cup
08 Mar 1958,Manchester United v West Bromwich Albion,L,0-4,League Division One
15 Mar 1958,Burnley v Manchester United,L,3-0,League Division One
22 Mar 1958,Manchester United v Fulham,D,2-2,FA Cup
26 Mar 1958,Manchester United v Fulham,W,5-3,FA Cup
29 Mar 1958,Sheffield Wednesday v Manchester United,L,1-0,League Division One
31 Mar 1958,Aston Villa v Manchester United,L,3-2,League Division One
04 Apr 1958,Manchester United v Sunderland,D,2-2,League Division One
05 Apr 1958,Manchester United v Preston North End,D,0-0,League Division One
07 Apr 1958,Sunderland v Manchester United,W,1-2,League Division One
12 Apr 1958,Tottenham Hotspur v Manchester United,L,1-0,League Division One
16 Apr 1958,Portsmouth v Manchester United,D,3-3,League Division One
19 Apr 1958,Manchester United v Birmingham City,L,0-2,League Division One
21 Apr 1958,Manchester United v Wolverhampton Wanderers,L,0-4,League Division One
23 Apr 1958,Manchester United v Newcastle United,D,1-1,League Division One
26 Apr 1958,Chelsea v Manchester United,L,2-1,League Division One
03 May 1958,Bolton Wanderers v Manchester United,L,2-0,FA Cup
08 May 1958,Manchester United v AC Milan,W,2-1,European Cup
14 May 1958,AC Milan v Manchester United,L,4-0Agg: 5-2,European Cup
