Date,Match,Result,Score,Competition
16 Aug 1980,Manchester United v Middlesbrough,W,3-0,League Division One
19 Aug 1980,Wolverhampton Wanderers v Manchester United,L,1-0,League Division One
23 Aug 1980,Birmingham City v Manchester United,D,0-0,League Division One
27 Aug 1980,Manchester United v Coventry City,L,0-1,League Cup
30 Aug 1980,Manchester United v Sunderland,D,1-1,League Division One
02 Sep 1980,Coventry City v Manchester United,L,1-0Agg: 2-0,League Cup
06 Sep 1980,Tottenham Hotspur v Manchester United,D,0-0,League Division One
13 Sep 1980,Manchester United v Leicester City,W,5-0,League Division One
17 Sep 1980,Manchester United v Widzew Lódz,D,1-1,UEFA Cup
20 Sep 1980,Leeds United v Manchester United,D,0-0,League Division One
27 Sep 1980,Manchester United v Manchester City,D,2-2,League Division One
01 Oct 1980,Widzew Lódz v Manchester United,D,0-0Agg: 1-1,UEFA Cup
04 Oct 1980,Nottingham Forest v Manchester United,W,1-2,League Division One
08 Oct 1980,Manchester United v Aston Villa,D,3-3,League Division One
11 Oct 1980,Manchester United v Arsenal,D,0-0,League Division One
18 Oct 1980,Ipswich Town v Manchester United,D,1-1,League Division One
22 Oct 1980,Stoke City v Manchester United,W,1-2,League Division One
25 Oct 1980,Manchester United v Everton,W,2-0,League Division One
01 Nov 1980,Crystal Palace v Manchester United,L,1-0,League Division One
08 Nov 1980,Manchester United v Coventry City,D,0-0,League Division One
12 Nov 1980,Manchester United v Wolverhampton Wanderers,D,0-0,League Division One
15 Nov 1980,Middlesbrough v Manchester United,D,1-1,League Division One
22 Nov 1980,Brighton and Hove Albion v Manchester United,W,1-4,League Division One
29 Nov 1980,Manchester United v Southampton,D,1-1,League Division One
06 Dec 1980,Norwich City v Manchester United,D,2-2,League Division One
13 Dec 1980,Manchester United v Stoke City,D,2-2,League Division One
20 Dec 1980,Arsenal v Manchester United,L,2-1,League Division One
26 Dec 1980,Manchester United v Liverpool,D,0-0,League Division One
27 Dec 1980,West Bromwich Albion v Manchester United,L,3-1,League Division One
03 Jan 1981,Manchester United v Brighton and Hove Albion,D,2-2,FA Cup
07 Jan 1981,Brighton and Hove Albion v Manchester United,W,0-2,FA Cup
10 Jan 1981,Manchester United v Brighton and Hove Albion,W,2-1,League Division One
24 Jan 1981,Nottingham Forest v Manchester United,L,1-0,FA Cup
28 Jan 1981,Sunderland v Manchester United,L,2-0,League Division One
31 Jan 1981,Manchester United v Birmingham City,W,2-0,League Division One
07 Feb 1981,Leicester City v Manchester United,L,1-0,League Division One
17 Feb 1981,Manchester United v Tottenham Hotspur,D,0-0,League Division One
21 Feb 1981,Manchester City v Manchester United,L,1-0,League Division One
28 Feb 1981,Manchester United v Leeds United,L,0-1,League Division One
07 Mar 1981,Southampton v Manchester United,L,1-0,League Division One
14 Mar 1981,Aston Villa v Manchester United,D,3-3,League Division One
18 Mar 1981,Manchester United v Nottingham Forest,D,1-1,League Division One
21 Mar 1981,Manchester United v Ipswich Town,W,2-1,League Division One
28 Mar 1981,Everton v Manchester United,W,0-1,League Division One
04 Apr 1981,Manchester United v Crystal Palace,W,1-0,League Division One
11 Apr 1981,Coventry City v Manchester United,W,0-2,League Division One
14 Apr 1981,Liverpool v Manchester United,W,0-1,League Division One
18 Apr 1981,Manchester United v West Bromwich Albion,W,2-1,League Division One
25 Apr 1981,Manchester United v Norwich City,W,1-0,League Division One
