Date,Match,Result,Score,Competition
02 Sep 1899,Manchester United v Gainsborough Trinity,D,2-2,League Division Two
09 Sep 1899,Bolton Wanderers v Manchester United,L,2-1,League Division Two
16 Sep 1899,Manchester United v Loughborough,W,4-0,League Division Two
23 Sep 1899,Burton Swifts v Manchester United,D,0-0,League Division Two
30 Sep 1899,Sheffield Wednesday v Manchester United,L,2-1,League Division Two
07 Oct 1899,Manchester United v Lincoln City,W,1-0,League Division Two
14 Oct 1899,Small Heath v Manchester United,L,1-0,League Division Two
21 Oct 1899,Manchester United v New Brighton Tower,W,2-1,League Division Two
28 Oct 1899,South Shore v Manchester United,L,3-1,FA Cup
04 Nov 1899,Manchester United v Woolwich Arsenal,W,2-0,League Division Two
11 Nov 1899,Barnsley v Manchester United,D,0-0,League Division Two
25 Nov 1899,Luton Town v Manchester United,W,0-1,League Division Two
02 Dec 1899,Manchester United v Port Vale,W,3-0,League Division Two
16 Dec 1899,Manchester United v Middlesbrough,W,2-1,League Division Two
23 Dec 1899,Chesterfield Town v Manchester United,L,2-1,League Division Two
26 Dec 1899,Grimsby Town v Manchester United,W,0-7,League Division Two
30 Dec 1899,Gainsborough Trinity v Manchester United,W,0-1,League Division Two
06 Jan 1900,Manchester United v Bolton Wanderers,L,1-2,League Division Two
13 Jan 1900,Loughborough v Manchester United,W,0-2,League Division Two
20 Jan 1900,Manchester United v Burton Swifts,W,4-0,League Division Two
03 Feb 1900,Manchester United v Sheffield Wednesday,W,1-0,League Division Two
10 Feb 1900,Lincoln City v Manchester United,L,1-0,League Division Two
17 Feb 1900,Manchester United v Small Heath,W,3-2,League Division Two
24 Feb 1900,New Brighton Tower v Manchester United,W,1-4,League Division Two
03 Mar 1900,Manchester United v Grimsby Town,W,1-0,League Division Two
10 Mar 1900,Woolwich Arsenal v Manchester United,L,2-1,League Division Two
17 Mar 1900,Manchester United v Barnsley,W,3-0,League Division Two
24 Mar 1900,Leicester City v Manchester United,L,2-0,League Division Two
31 Mar 1900,Manchester United v Luton Town,W,5-0,League Division Two
07 Apr 1900,Port Vale v Manchester United,L,1-0,League Division Two
13 Apr 1900,Manchester United v Leicester City,W,3-2,League Division Two
14 Apr 1900,Manchester United v Walsall,W,5-0,League Division Two
17 Apr 1900,Walsall v Manchester United,D,0-0,League Division Two
21 Apr 1900,Middlesbrough v Manchester United,L,2-0,League Division Two
28 Apr 1900,Manchester United v Chesterfield Town,W,2-1,League Division Two
