Date,Match,Result,Score,Competition
20 Aug 1983,Liverpool v Manchester United,W,0-2,FA Charity Shield
27 Aug 1983,Manchester United v Queens Park Rangers,W,3-1,League Division One
29 Aug 1983,Manchester United v Nottingham Forest,L,1-2,League Division One
03 Sep 1983,Stoke City v Manchester United,W,0-1,League Division One
06 Sep 1983,Arsenal v Manchester United,W,2-3,League Division One
10 Sep 1983,Manchester United v Luton Town,W,2-0,League Division One
14 Sep 1983,Manchester United v Dukla Praha,D,1-1,UEFA European Cup Winners Cup
17 Sep 1983,Southampton v Manchester United,L,3-0,League Division One
24 Sep 1983,Manchester United v Liverpool,W,1-0,League Division One
27 Sep 1983,Dukla Praha v Manchester United,D,2-2Agg: 3-3,UEFA European Cup Winners Cup
01 Oct 1983,Norwich City v Manchester United,D,3-3,League Division One
03 Oct 1983,Port Vale v Manchester United,W,0-1,League Cup
15 Oct 1983,Manchester United v West Bromwich Albion,W,3-0,League Division One
19 Oct 1983,Spartak Varna v Manchester United,W,1-2,UEFA European Cup Winners Cup
22 Oct 1983,Sunderland v Manchester United,W,0-1,League Division One
26 Oct 1983,Manchester United v Port Vale,W,2-0Agg: 3-0,League Cup
29 Oct 1983,Manchester United v Wolverhampton Wanderers,W,3-0,League Division One
02 Nov 1983,Manchester United v Spartak Varna,W,2-0Agg: 4-1,UEFA European Cup Winners Cup
05 Nov 1983,Manchester United v Aston Villa,L,1-2,League Division One
08 Nov 1983,Colchester United v Manchester United,W,0-2,League Cup
12 Nov 1983,Leicester City v Manchester United,D,1-1,League Division One
19 Nov 1983,Manchester United v Watford,W,4-1,League Division One
27 Nov 1983,West Ham United v Manchester United,D,1-1,League Division One
30 Nov 1983,Oxford United v Manchester United,D,1-1,League Cup
03 Dec 1983,Manchester United v Everton,L,0-1,League Division One
07 Dec 1983,Manchester United v Oxford United,D,1-1,League Cup
10 Dec 1983,Ipswich Town v Manchester United,W,0-2,League Division One
16 Dec 1983,Manchester United v Tottenham Hotspur,W,4-2,League Division One
19 Dec 1983,Oxford United v Manchester United,L,2-1,League Cup
26 Dec 1983,Coventry City v Manchester United,D,1-1,League Division One
27 Dec 1983,Manchester United v Notts County,D,3-3,League Division One
31 Dec 1983,Manchester United v Stoke City,W,1-0,League Division One
02 Jan 1984,Liverpool v Manchester United,D,1-1,League Division One
07 Jan 1984,AFC Bournemouth v Manchester United,L,2-0,FA Cup
13 Jan 1984,Queens Park Rangers v Manchester United,D,1-1,League Division One
21 Jan 1984,Manchester United v Southampton,W,3-2,League Division One
04 Feb 1984,Manchester United v Norwich City,D,0-0,League Division One
07 Feb 1984,Birmingham City v Manchester United,D,2-2,League Division One
12 Feb 1984,Luton Town v Manchester United,W,0-5,League Division One
18 Feb 1984,Wolverhampton Wanderers v Manchester United,D,1-1,League Division One
25 Feb 1984,Manchester United v Sunderland,W,2-1,League Division One
03 Mar 1984,Aston Villa v Manchester United,W,0-3,League Division One
07 Mar 1984,Barcelona v Manchester United,L,2-0,UEFA European Cup Winners Cup
10 Mar 1984,Manchester United v Leicester City,W,2-0,League Division One
17 Mar 1984,Manchester United v Arsenal,W,4-0,League Division One
21 Mar 1984,Manchester United v Barcelona,W,3-0Agg: 3-2,UEFA European Cup Winners Cup
31 Mar 1984,West Bromwich Albion v Manchester United,L,2-0,League Division One
07 Apr 1984,Manchester United v Birmingham City,W,1-0,League Division One
11 Apr 1984,Manchester United v Juventus,D,1-1,UEFA European Cup Winners Cup
14 Apr 1984,Notts County v Manchester United,L,1-0,League Division One
17 Apr 1984,Watford v Manchester United,D,0-0,League Division One
21 Apr 1984,Manchester United v Coventry City,W,4-1,League Division One
25 Apr 1984,Juventus v Manchester United,L,2-1Agg: 3-2,UEFA European Cup Winners Cup
28 Apr 1984,Manchester United v West Ham United,D,0-0,League Division One
05 May 1984,Everton v Manchester United,D,1-1,League Division One
07 May 1984,Manchester United v Ipswich Town,L,1-2,League Division One
12 May 1984,Tottenham Hotspur v Manchester United,D,1-1,League Division One
16 May 1984,Nottingham Forest v Manchester United,L,2-0,League Division One
