Date,Match,Result,Score,Competition
27 Aug 1927,Manchester United v Middlesbrough,W,3-0,League Division One
29 Aug 1927,Sheffield Wednesday v Manchester United,W,0-2,League Division One
03 Sep 1927,Birmingham City v Manchester United,D,0-0,League Division One
07 Sep 1927,Manchester United v Sheffield Wednesday,D,1-1,League Division One
10 Sep 1927,Manchester United v Newcastle United,L,1-7,League Division One
17 Sep 1927,Huddersfield Town v Manchester United,L,4-2,League Division One
19 Sep 1927,Blackburn Rovers v Manchester United,L,3-0,League Division One
24 Sep 1927,Manchester United v Tottenham Hotspur,W,3-0,League Division One
01 Oct 1927,Leicester City v Manchester United,L,1-0,League Division One
08 Oct 1927,Everton v Manchester United,L,5-2,League Division One
15 Oct 1927,Manchester United v Cardiff City,D,2-2,League Division One
22 Oct 1927,Manchester United v Derby County,W,5-0,League Division One
29 Oct 1927,West Ham United v Manchester United,W,1-2,League Division One
05 Nov 1927,Manchester United v Portsmouth,W,2-0,League Division One
12 Nov 1927,Sunderland v Manchester United,L,4-1,League Division One
19 Nov 1927,Manchester United v Aston Villa,W,5-1,League Division One
26 Nov 1927,Burnley v Manchester United,L,4-0,League Division One
03 Dec 1927,Manchester United v Bury,L,0-1,League Division One
10 Dec 1927,Sheffield United v Manchester United,L,2-1,League Division One
17 Dec 1927,Manchester United v Arsenal,W,4-1,League Division One
24 Dec 1927,Liverpool v Manchester United,L,2-0,League Division One
26 Dec 1927,Manchester United v Blackburn Rovers,D,1-1,League Division One
31 Dec 1927,Middlesbrough v Manchester United,W,1-2,League Division One
07 Jan 1928,Manchester United v Birmingham City,D,1-1,League Division One
14 Jan 1928,Manchester United v Brentford,W,7-1,FA Cup
21 Jan 1928,Newcastle United v Manchester United,L,4-1,League Division One
28 Jan 1928,Bury v Manchester United,D,1-1,FA Cup
01 Feb 1928,Manchester United v Bury,W,1-0,FA Cup
04 Feb 1928,Tottenham Hotspur v Manchester United,L,4-1,League Division One
11 Feb 1928,Manchester United v Leicester City,W,5-2,League Division One
18 Feb 1928,Manchester United v Birmingham City,W,1-0,FA Cup
25 Feb 1928,Cardiff City v Manchester United,L,2-0,League Division One
03 Mar 1928,Blackburn Rovers v Manchester United,L,2-0,FA Cup
07 Mar 1928,Manchester United v Huddersfield Town,D,0-0,League Division One
10 Mar 1928,Manchester United v West Ham United,D,1-1,League Division One
14 Mar 1928,Manchester United v Everton,W,1-0,League Division One
17 Mar 1928,Portsmouth v Manchester United,L,1-0,League Division One
28 Mar 1928,Derby County v Manchester United,L,5-0,League Division One
31 Mar 1928,Aston Villa v Manchester United,L,3-1,League Division One
06 Apr 1928,Bolton Wanderers v Manchester United,L,3-2,League Division One
07 Apr 1928,Manchester United v Burnley,W,4-3,League Division One
09 Apr 1928,Manchester United v Bolton Wanderers,W,2-1,League Division One
14 Apr 1928,Bury v Manchester United,L,4-3,League Division One
21 Apr 1928,Manchester United v Sheffield United,L,2-3,League Division One
25 Apr 1928,Manchester United v Sunderland,W,2-1,League Division One
28 Apr 1928,Arsenal v Manchester United,W,0-1,League Division One
05 May 1928,Manchester United v Liverpool,W,6-1,League Division One
