Date,Match,Result,Score,Competition
27 Aug 1938,Middlesbrough v Manchester United,L,3-1,League Division One
31 Aug 1938,Manchester United v Bolton Wanderers,D,2-2,League Division One
03 Sep 1938,Manchester United v Birmingham City,W,4-1,League Division One
07 Sep 1938,Liverpool v Manchester United,L,1-0,League Division One
10 Sep 1938,Grimsby Town v Manchester United,L,1-0,League Division One
17 Sep 1938,Stoke City v Manchester United,D,1-1,League Division One
24 Sep 1938,Manchester United v Chelsea,W,5-1,League Division One
01 Oct 1938,Preston North End v Manchester United,D,1-1,League Division One
08 Oct 1938,Manchester United v Charlton Athletic,L,0-2,League Division One
15 Oct 1938,Manchester United v Blackpool,D,0-0,League Division One
22 Oct 1938,Derby County v Manchester United,L,5-1,League Division One
29 Oct 1938,Manchester United v Sunderland,L,0-1,League Division One
05 Nov 1938,Aston Villa v Manchester United,W,0-2,League Division One
12 Nov 1938,Manchester United v Wolverhampton Wanderers,L,1-3,League Division One
19 Nov 1938,Everton v Manchester United,L,3-0,League Division One
26 Nov 1938,Manchester United v Huddersfield Town,D,1-1,League Division One
03 Dec 1938,Portsmouth v Manchester United,D,0-0,League Division One
10 Dec 1938,Manchester United v Arsenal,W,1-0,League Division One
17 Dec 1938,Brentford v Manchester United,W,2-5,League Division One
24 Dec 1938,Manchester United v Middlesbrough,D,1-1,League Division One
26 Dec 1938,Manchester United v Leicester City,W,3-0,League Division One
27 Dec 1938,Leicester City v Manchester United,D,1-1,League Division One
31 Dec 1938,Birmingham City v Manchester United,D,3-3,League Division One
07 Jan 1939,West Bromwich Albion v Manchester United,D,0-0,FA Cup
11 Jan 1939,Manchester United v West Bromwich Albion,L,1-5,FA Cup
14 Jan 1939,Manchester United v Grimsby Town,W,3-1,League Division One
21 Jan 1939,Manchester United v Stoke City,L,0-1,League Division One
28 Jan 1939,Chelsea v Manchester United,W,0-1,League Division One
04 Feb 1939,Manchester United v Preston North End,D,1-1,League Division One
11 Feb 1939,Charlton Athletic v Manchester United,L,7-1,League Division One
18 Feb 1939,Blackpool v Manchester United,W,3-5,League Division One
25 Feb 1939,Manchester United v Derby County,D,1-1,League Division One
04 Mar 1939,Sunderland v Manchester United,L,5-2,League Division One
11 Mar 1939,Manchester United v Aston Villa,D,1-1,League Division One
18 Mar 1939,Wolverhampton Wanderers v Manchester United,L,3-0,League Division One
29 Mar 1939,Manchester United v Everton,L,0-2,League Division One
01 Apr 1939,Huddersfield Town v Manchester United,D,1-1,League Division One
07 Apr 1939,Manchester United v Leeds United,D,0-0,League Division One
08 Apr 1939,Manchester United v Portsmouth,D,1-1,League Division One
10 Apr 1939,Leeds United v Manchester United,L,3-1,League Division One
15 Apr 1939,Arsenal v Manchester United,L,2-1,League Division One
22 Apr 1939,Manchester United v Brentford,W,3-0,League Division One
29 Apr 1939,Bolton Wanderers v Manchester United,D,0-0,League Division One
06 May 1939,Manchester United v Liverpool,W,2-0,League Division One
