Date,Match,Result,Score,Competition
08 Aug 2010,Chelsea v Manchester United,W,1-3,FA Community Shield
16 Aug 2010,Manchester United v Newcastle United,W,3-0,Premier League
22 Aug 2010,Fulham v Manchester United,D,2-2,Premier League
28 Aug 2010,Manchester United v West Ham United,W,3-0,Premier League
11 Sep 2010,Everton v Manchester United,D,3-3,Premier League
14 Sep 2010,Manchester United v Rangers,D,0-0,UEFA Champions League
19 Sep 2010,Manchester United v Liverpool,W,3-2,Premier League
22 Sep 2010,Scunthorpe United v Manchester United,W,2-5,League Cup
26 Sep 2010,Bolton Wanderers v Manchester United,D,2-2,Premier League
29 Sep 2010,Valencia v Manchester United,W,0-1,UEFA Champions League
02 Oct 2010,Sunderland v Manchester United,D,0-0,Premier League
16 Oct 2010,Manchester United v West Bromwich Albion,D,2-2,Premier League
20 Oct 2010,Manchester United v Bursaspor,W,1-0,UEFA Champions League
24 Oct 2010,Stoke City v Manchester United,W,1-2,Premier League
26 Oct 2010,Manchester United v Wolverhampton Wanderers,W,3-2,League Cup
30 Oct 2010,Manchester United v Tottenham Hotspur,W,2-0,Premier League
02 Nov 2010,Bursaspor v Manchester United,W,0-3,UEFA Champions League
06 Nov 2010,Manchester United v Wolverhampton Wanderers,W,2-1,Premier League
10 Nov 2010,Manchester City v Manchester United,D,0-0,Premier League
13 Nov 2010,Aston Villa v Manchester United,D,2-2,Premier League
20 Nov 2010,Manchester United v Wigan Athletic,W,2-0,Premier League
24 Nov 2010,Rangers v Manchester United,W,0-1,UEFA Champions League
27 Nov 2010,Manchester United v Blackburn Rovers,W,7-1,Premier League
30 Nov 2010,West Ham United v Manchester United,L,4-0,League Cup
07 Dec 2010,Manchester United v Valencia,D,1-1,UEFA Champions League
13 Dec 2010,Manchester United v Arsenal,W,1-0,Premier League
26 Dec 2010,Manchester United v Sunderland,W,2-0,Premier League
28 Dec 2010,Birmingham City v Manchester United,D,1-1,Premier League
01 Jan 2011,West Bromwich Albion v Manchester United,W,1-2,Premier League
04 Jan 2011,Manchester United v Stoke City,W,2-1,Premier League
09 Jan 2011,Manchester United v Liverpool,W,1-0,FA Cup
16 Jan 2011,Tottenham Hotspur v Manchester United,D,0-0,Premier League
22 Jan 2011,Manchester United v Birmingham City,W,5-0,Premier League
25 Jan 2011,Blackpool v Manchester United,W,2-3,Premier League
29 Jan 2011,Southampton v Manchester United,W,1-2,FA Cup
01 Feb 2011,Manchester United v Aston Villa,W,3-1,Premier League
05 Feb 2011,Wolverhampton Wanderers v Manchester United,L,2-1,Premier League
12 Feb 2011,Manchester United v Manchester City,W,2-1,Premier League
19 Feb 2011,Manchester United v Crawley Town,W,1-0,FA Cup
23 Feb 2011,Olympique Marseille v Manchester United,D,0-0,UEFA Champions League
26 Feb 2011,Wigan Athletic v Manchester United,W,0-4,Premier League
01 Mar 2011,Chelsea v Manchester United,L,2-1,Premier League
06 Mar 2011,Liverpool v Manchester United,L,3-1,Premier League
12 Mar 2011,Manchester United v Arsenal,W,2-0,FA Cup
15 Mar 2011,Manchester United v Olympique Marseille,W,2-1Agg: 2-1,UEFA Champions League
19 Mar 2011,Manchester United v Bolton Wanderers,W,1-0,Premier League
02 Apr 2011,West Ham United v Manchester United,W,2-4,Premier League
06 Apr 2011,Chelsea v Manchester United,W,0-1,UEFA Champions League
09 Apr 2011,Manchester United v Fulham,W,2-0,Premier League
12 Apr 2011,Manchester United v Chelsea,W,2-1Agg: 3-1,UEFA Champions League
16 Apr 2011,Manchester City v Manchester United,L,1-0,FA Cup
19 Apr 2011,Newcastle United v Manchester United,D,0-0,Premier League
23 Apr 2011,Manchester United v Everton,W,1-0,Premier League
26 Apr 2011,Schalke 04 v Manchester United,W,0-2,UEFA Champions League
01 May 2011,Arsenal v Manchester United,L,1-0,Premier League
04 May 2011,Manchester United v Schalke 04,W,4-1Agg: 6-1,UEFA Champions League
08 May 2011,Manchester United v Chelsea,W,2-1,Premier League
14 May 2011,Blackburn Rovers v Manchester United,D,1-1,Premier League
22 May 2011,Manchester United v Blackpool,W,4-2,Premier League
28 May 2011,Barcelona v Manchester United,L,3-1,UEFA Champions League
