Date,Match,Result,Score,Competition
01 Sep 1909,Manchester United v Bradford City,W,1-0,League Division One
04 Sep 1909,Manchester United v Bury,W,2-0,League Division One
06 Sep 1909,Manchester United v Notts County,W,2-1,League Division One
11 Sep 1909,Tottenham Hotspur v Manchester United,D,2-2,League Division One
18 Sep 1909,Manchester United v Preston North End,D,1-1,League Division One
25 Sep 1909,Notts County v Manchester United,L,3-2,League Division One
02 Oct 1909,Manchester United v Newcastle United,D,1-1,League Division One
09 Oct 1909,Liverpool v Manchester United,L,3-2,League Division One
16 Oct 1909,Manchester United v Aston Villa,W,2-0,League Division One
23 Oct 1909,Sheffield United v Manchester United,W,0-1,League Division One
30 Oct 1909,Manchester United v Woolwich Arsenal,W,1-0,League Division One
06 Nov 1909,Bolton Wanderers v Manchester United,W,2-3,League Division One
13 Nov 1909,Manchester United v Chelsea,W,2-0,League Division One
20 Nov 1909,Blackburn Rovers v Manchester United,L,3-2,League Division One
27 Nov 1909,Manchester United v Nottingham Forest,L,2-6,League Division One
04 Dec 1909,Sunderland v Manchester United,L,3-0,League Division One
18 Dec 1909,Middlesbrough v Manchester United,W,1-2,League Division One
25 Dec 1909,Manchester United v Sheffield Wednesday,L,0-3,League Division One
27 Dec 1909,Sheffield Wednesday v Manchester United,L,4-1,League Division One
01 Jan 1910,Bradford City v Manchester United,W,0-2,League Division One
08 Jan 1910,Bury v Manchester United,D,1-1,League Division One
15 Jan 1910,Burnley v Manchester United,L,2-0,FA Cup
22 Jan 1910,Manchester United v Tottenham Hotspur,W,5-0,League Division One
05 Feb 1910,Preston North End v Manchester United,L,1-0,League Division One
12 Feb 1910,Newcastle United v Manchester United,W,3-4,League Division One
19 Feb 1910,Manchester United v Liverpool,L,3-4,League Division One
26 Feb 1910,Aston Villa v Manchester United,L,7-1,League Division One
05 Mar 1910,Manchester United v Sheffield United,W,1-0,League Division One
12 Mar 1910,Woolwich Arsenal v Manchester United,D,0-0,League Division One
19 Mar 1910,Manchester United v Bolton Wanderers,W,5-0,League Division One
25 Mar 1910,Manchester United v Bristol City,W,2-1,League Division One
26 Mar 1910,Chelsea v Manchester United,D,1-1,League Division One
28 Mar 1910,Bristol City v Manchester United,L,2-1,League Division One
02 Apr 1910,Manchester United v Blackburn Rovers,W,2-0,League Division One
06 Apr 1910,Manchester United v Everton,W,3-2,League Division One
09 Apr 1910,Nottingham Forest v Manchester United,L,2-0,League Division One
16 Apr 1910,Manchester United v Sunderland,W,2-0,League Division One
23 Apr 1910,Everton v Manchester United,D,3-3,League Division One
30 Apr 1910,Manchester United v Middlesbrough,W,4-1,League Division One
