Date,Match,Result,Score,Competition
12 Aug 1967,Manchester United v Tottenham Hotspur,D,3-3,FA Charity Shield
19 Aug 1967,Everton v Manchester United,L,3-1,League Division One
23 Aug 1967,Manchester United v Leeds United,W,1-0,League Division One
26 Aug 1967,Manchester United v Leicester City,D,1-1,League Division One
02 Sep 1967,West Ham United v Manchester United,W,1-3,League Division One
06 Sep 1967,Sunderland v Manchester United,D,1-1,League Division One
09 Sep 1967,Manchester United v Burnley,D,2-2,League Division One
16 Sep 1967,Sheffield Wednesday v Manchester United,D,1-1,League Division One
20 Sep 1967,Manchester United v Hibernians (Malta),W,4-0,European Cup
23 Sep 1967,Manchester United v Tottenham Hotspur,W,3-1,League Division One
27 Sep 1967,Hibernians (Malta) v Manchester United,D,0-0Agg: 0-4,European Cup
30 Sep 1967,Manchester City v Manchester United,W,1-2,League Division One
07 Oct 1967,Manchester United v Arsenal,W,1-0,League Division One
14 Oct 1967,Sheffield United v Manchester United,W,0-3,League Division One
25 Oct 1967,Manchester United v Coventry City,W,4-0,League Division One
28 Oct 1967,Nottingham Forest v Manchester United,L,3-1,League Division One
04 Nov 1967,Manchester United v Stoke City,W,1-0,League Division One
08 Nov 1967,Leeds United v Manchester United,L,1-0,League Division One
11 Nov 1967,Liverpool v Manchester United,W,1-2,League Division One
15 Nov 1967,FK Sarajevo v Manchester United,D,0-0,European Cup
18 Nov 1967,Manchester United v Southampton,W,3-2,League Division One
25 Nov 1967,Chelsea v Manchester United,D,1-1,League Division One
29 Nov 1967,Manchester United v FK Sarajevo,W,2-1Agg: 2-1,European Cup
02 Dec 1967,Manchester United v West Bromwich Albion,W,2-1,League Division One
09 Dec 1967,Newcastle United v Manchester United,D,2-2,League Division One
16 Dec 1967,Manchester United v Everton,W,3-1,League Division One
23 Dec 1967,Leicester City v Manchester United,D,2-2,League Division One
26 Dec 1967,Manchester United v Wolverhampton Wanderers,W,4-0,League Division One
30 Dec 1967,Wolverhampton Wanderers v Manchester United,W,2-3,League Division One
06 Jan 1968,Manchester United v West Ham United,W,3-1,League Division One
20 Jan 1968,Manchester United v Sheffield Wednesday,W,4-2,League Division One
27 Jan 1968,Manchester United v Tottenham Hotspur,D,2-2,FA Cup
31 Jan 1968,Tottenham Hotspur v Manchester United,L,1-0,FA Cup
03 Feb 1968,Tottenham Hotspur v Manchester United,W,1-2,League Division One
17 Feb 1968,Burnley v Manchester United,L,2-1,League Division One
24 Feb 1968,Arsenal v Manchester United,W,0-2,League Division One
28 Feb 1968,Manchester United v Górnik Zabrze,W,2-0,European Cup
02 Mar 1968,Manchester United v Chelsea,L,1-3,League Division One
13 Mar 1968,Górnik Zabrze v Manchester United,L,1-0Agg: 1-2,European Cup
16 Mar 1968,Coventry City v Manchester United,L,2-0,League Division One
23 Mar 1968,Manchester United v Nottingham Forest,W,3-0,League Division One
27 Mar 1968,Manchester United v Manchester City,L,1-3,League Division One
30 Mar 1968,Stoke City v Manchester United,W,2-4,League Division One
06 Apr 1968,Manchester United v Liverpool,L,1-2,League Division One
12 Apr 1968,Fulham v Manchester United,W,0-4,League Division One
13 Apr 1968,Southampton v Manchester United,D,2-2,League Division One
15 Apr 1968,Manchester United v Fulham,W,3-0,League Division One
20 Apr 1968,Manchester United v Sheffield United,W,1-0,League Division One
24 Apr 1968,Manchester United v Real Madrid,W,1-0,European Cup
29 Apr 1968,West Bromwich Albion v Manchester United,L,6-3,League Division One
04 May 1968,Manchester United v Newcastle United,W,6-0,League Division One
11 May 1968,Manchester United v Sunderland,L,1-2,League Division One
15 May 1968,Real Madrid v Manchester United,D,3-3Agg: 3-4,European Cup
29 May 1968,Benfica v Manchester United,W,1-4,European Cup
