Date,Match,Result,Score,Competition
25 Aug 1934,Manchester United v Bradford City,W,2-0,League Division Two
01 Sep 1934,Sheffield United v Manchester United,L,3-2,League Division Two
03 Sep 1934,Bolton Wanderers v Manchester United,L,3-1,League Division Two
08 Sep 1934,Manchester United v Barnsley,W,4-1,League Division Two
12 Sep 1934,Manchester United v Bolton Wanderers,L,0-3,League Division Two
15 Sep 1934,Port Vale v Manchester United,L,3-2,League Division Two
22 Sep 1934,Manchester United v Norwich City,W,5-0,League Division Two
29 Sep 1934,Manchester United v Swansea Town,W,3-1,League Division Two
06 Oct 1934,Burnley v Manchester United,W,1-2,League Division Two
13 Oct 1934,Manchester United v Oldham Athletic,W,4-0,League Division Two
20 Oct 1934,Newcastle United v Manchester United,W,0-1,League Division Two
27 Oct 1934,Manchester United v West Ham United,W,3-1,League Division Two
03 Nov 1934,Blackpool v Manchester United,W,1-2,League Division Two
10 Nov 1934,Manchester United v Bury,W,1-0,League Division Two
17 Nov 1934,Hull City v Manchester United,L,3-2,League Division Two
24 Nov 1934,Manchester United v Nottingham Forest,W,3-2,League Division Two
01 Dec 1934,Brentford v Manchester United,L,3-1,League Division Two
08 Dec 1934,Manchester United v Fulham,W,1-0,League Division Two
15 Dec 1934,Bradford Park Avenue v Manchester United,W,1-2,League Division Two
22 Dec 1934,Manchester United v Plymouth Argyle,W,3-1,League Division Two
25 Dec 1934,Manchester United v Notts County,W,2-1,League Division Two
26 Dec 1934,Notts County v Manchester United,L,1-0,League Division Two
29 Dec 1934,Bradford City v Manchester United,L,2-0,League Division Two
01 Jan 1935,Manchester United v Southampton,W,3-0,League Division Two
05 Jan 1935,Manchester United v Sheffield United,D,3-3,League Division Two
12 Jan 1935,Bristol Rovers v Manchester United,W,1-3,FA Cup
19 Jan 1935,Barnsley v Manchester United,W,0-2,League Division Two
26 Jan 1935,Nottingham Forest v Manchester United,D,0-0,FA Cup
30 Jan 1935,Manchester United v Nottingham Forest,L,0-3,FA Cup
02 Feb 1935,Norwich City v Manchester United,L,3-2,League Division Two
06 Feb 1935,Manchester United v Port Vale,W,2-1,League Division Two
09 Feb 1935,Swansea Town v Manchester United,L,1-0,League Division Two
23 Feb 1935,Oldham Athletic v Manchester United,L,3-1,League Division Two
02 Mar 1935,Manchester United v Newcastle United,L,0-1,League Division Two
09 Mar 1935,West Ham United v Manchester United,D,0-0,League Division Two
16 Mar 1935,Manchester United v Blackpool,W,3-2,League Division Two
23 Mar 1935,Bury v Manchester United,W,0-1,League Division Two
27 Mar 1935,Manchester United v Burnley,L,3-4,League Division Two
30 Mar 1935,Manchester United v Hull City,W,3-0,League Division Two
06 Apr 1935,Nottingham Forest v Manchester United,D,2-2,League Division Two
13 Apr 1935,Manchester United v Brentford,D,0-0,League Division Two
20 Apr 1935,Fulham v Manchester United,L,3-1,League Division Two
22 Apr 1935,Southampton v Manchester United,L,1-0,League Division Two
27 Apr 1935,Manchester United v Bradford Park Avenue,W,2-0,League Division Two
04 May 1935,Plymouth Argyle v Manchester United,W,0-2,League Division Two
