Date,Match,Result,Score,Competition
19 Sep 2020,Manchester United v Crystal Palace,L,1-3,Premier League
22 Sep 2020,Luton Town v Manchester United,W,0-3,League Cup
26 Sep 2020,Brighton and Hove Albion v Manchester United,W,2-3,Premier League
30 Sep 2020,Brighton and Hove Albion v Manchester United,W,0-3,League Cup
04 Oct 2020,Manchester United v Tottenham Hotspur,L,1-6,Premier League
17 Oct 2020,Newcastle United v Manchester United,W,1-4,Premier League
20 Oct 2020,Paris St Germain v Manchester United,W,1-2,UEFA Champions League
24 Oct 2020,Manchester United v Chelsea,D,0-0,Premier League
28 Oct 2020,Manchester United v RB Leipzig,W,5-0,UEFA Champions League
01 Nov 2020,Manchester United v Arsenal,L,0-1,Premier League
04 Nov 2020,İstanbul Başakşehir v Manchester United,L,2-1,UEFA Champions League
07 Nov 2020,Everton v Manchester United,W,1-3,Premier League
21 Nov 2020,Manchester United v West Bromwich Albion,W,1-0,Premier League
24 Nov 2020,Manchester United v İstanbul Başakşehir,W,4-1,UEFA Champions League
29 Nov 2020,Southampton v Manchester United,W,2-3,Premier League
02 Dec 2020,Manchester United v Paris St Germain,L,1-3,UEFA Champions League
05 Dec 2020,West Ham United v Manchester United,W,1-3,Premier League
08 Dec 2020,RB Leipzig v Manchester United,L,3-2,UEFA Champions League
12 Dec 2020,Manchester United v Manchester City,D,0-0,Premier League
17 Dec 2020,Sheffield United v Manchester United,W,2-3,Premier League
20 Dec 2020,Manchester United v Leeds United,W,6-2,Premier League
23 Dec 2020,Everton v Manchester United,W,0-2,League Cup
26 Dec 2020,Leicester City v Manchester United,D,2-2,Premier League
29 Dec 2020,Manchester United v Wolverhampton Wanderers,W,1-0,Premier League
01 Jan 2021,Manchester United v Aston Villa,W,2-1,Premier League
06 Jan 2021,Manchester United v Manchester City,L,0-2,League Cup
09 Jan 2021,Manchester United v Watford,W,1-0,FA Cup
12 Jan 2021,Burnley v Manchester United,W,0-1,Premier League
17 Jan 2021,Liverpool v Manchester United,D,0-0,Premier League
20 Jan 2021,Fulham v Manchester United,W,1-2,Premier League
24 Jan 2021,Manchester United v Liverpool,W,3-2,FA Cup
27 Jan 2021,Manchester United v Sheffield United,L,1-2,Premier League
30 Jan 2021,Arsenal v Manchester United,D,0-0,Premier League
02 Feb 2021,Manchester United v Southampton,W,9-0,Premier League
06 Feb 2021,Manchester United v Everton,D,3-3,Premier League
09 Feb 2021,Manchester United v West Ham United,W,1-0,FA Cup
14 Feb 2021,West Bromwich Albion v Manchester United,D,1-1,Premier League
18 Feb 2021,Real Sociedad v Manchester United,W,0-4,UEFA Europa League
21 Feb 2021,Manchester United v Newcastle United,W,3-1,Premier League
25 Feb 2021,Manchester United v Real Sociedad,D,0-0,UEFA Europa League
28 Feb 2021,Chelsea v Manchester United,D,0-0,Premier League
03 Mar 2021,Crystal Palace v Manchester United,D,0-0,Premier League
07 Mar 2021,Manchester City v Manchester United,W,0-2,Premier League
11 Mar 2021,Manchester United v AC Milan,D,1-1,UEFA Europa League
14 Mar 2021,Manchester United v West Ham United,W,1-0,Premier League
18 Mar 2021,AC Milan v Manchester United,W,0-1,UEFA Europa League
21 Mar 2021,Leicester City v Manchester United,L,3-1,FA Cup
04 Apr 2021,Manchester United v Brighton and Hove Albion,W,2-1,Premier League
08 Apr 2021,Granada v Manchester United,W,0-2,UEFA Europa League
11 Apr 2021,Tottenham Hotspur v Manchester United,W,1-3,Premier League
15 Apr 2021,Manchester United v Granada,W,2-0,UEFA Europa League
18 Apr 2021,Manchester United v Burnley,W,3-1,Premier League
25 Apr 2021,Leeds United v Manchester United,D,0-0,Premier League
29 Apr 2021,Manchester United v AS Roma,W,6-2,UEFA Europa League
06 May 2021,AS Roma v Manchester United,L,3-2,UEFA Europa League
09 May 2021,Aston Villa v Manchester United,W,1-3,Premier League
11 May 2021,Manchester United v Leicester City,L,1-2,Premier League
13 May 2021,Manchester United v Liverpool,L,2-4,Premier League
18 May 2021,Manchester United v Fulham,D,1-1,Premier League
23 May 2021,Wolverhampton Wanderers v Manchester United,W,1-2,Premier League
26 May 2021,Villarreal v Manchester United,L,1-1 (11-10),UEFA Europa League
