Date,Match,Result,Score,Competition
23 Aug 1947,Middlesbrough v Manchester United,D,2-2,League Division One
27 Aug 1947,Manchester United v Liverpool,W,2-0,League Division One
30 Aug 1947,Manchester United v Charlton Athletic,W,6-2,League Division One
03 Sep 1947,Liverpool v Manchester United,D,2-2,League Division One
06 Sep 1947,Arsenal v Manchester United,L,2-1,League Division One
08 Sep 1947,Burnley v Manchester United,D,0-0,League Division One
13 Sep 1947,Manchester United v Sheffield United,L,0-1,League Division One
20 Sep 1947,Manchester City v Manchester United,D,0-0,League Division One
27 Sep 1947,Preston North End v Manchester United,L,2-1,League Division One
04 Oct 1947,Manchester United v Stoke City,D,1-1,League Division One
11 Oct 1947,Manchester United v Grimsby Town,L,3-4,League Division One
18 Oct 1947,Sunderland v Manchester United,L,1-0,League Division One
25 Oct 1947,Manchester United v Aston Villa,W,2-0,League Division One
01 Nov 1947,Wolverhampton Wanderers v Manchester United,W,2-6,League Division One
08 Nov 1947,Manchester United v Huddersfield Town,D,4-4,League Division One
15 Nov 1947,Derby County v Manchester United,D,1-1,League Division One
22 Nov 1947,Manchester United v Everton,D,2-2,League Division One
29 Nov 1947,Chelsea v Manchester United,W,0-4,League Division One
06 Dec 1947,Manchester United v Blackpool,D,1-1,League Division One
13 Dec 1947,Blackburn Rovers v Manchester United,D,1-1,League Division One
20 Dec 1947,Manchester United v Middlesbrough,W,2-1,League Division One
25 Dec 1947,Manchester United v Portsmouth,W,3-2,League Division One
27 Dec 1947,Portsmouth v Manchester United,W,1-3,League Division One
01 Jan 1948,Manchester United v Burnley,W,5-0,League Division One
03 Jan 1948,Charlton Athletic v Manchester United,W,1-2,League Division One
10 Jan 1948,Aston Villa v Manchester United,W,4-6,FA Cup
17 Jan 1948,Manchester United v Arsenal,D,1-1,League Division One
24 Jan 1948,Manchester United v Liverpool,W,3-0,FA Cup
31 Jan 1948,Sheffield United v Manchester United,L,2-1,League Division One
07 Feb 1948,Manchester United v Charlton Athletic,W,2-0,FA Cup
14 Feb 1948,Manchester United v Preston North End,D,1-1,League Division One
21 Feb 1948,Stoke City v Manchester United,W,0-2,League Division One
28 Feb 1948,Manchester United v Preston North End,W,4-1,FA Cup
06 Mar 1948,Manchester United v Sunderland,W,3-1,League Division One
13 Mar 1948,Manchester United v Derby County,W,3-1,FA Cup
17 Mar 1948,Grimsby Town v Manchester United,D,1-1,League Division One
20 Mar 1948,Manchester United v Wolverhampton Wanderers,W,3-2,League Division One
22 Mar 1948,Aston Villa v Manchester United,W,0-1,League Division One
26 Mar 1948,Manchester United v Bolton Wanderers,L,0-2,League Division One
27 Mar 1948,Huddersfield Town v Manchester United,W,0-2,League Division One
29 Mar 1948,Bolton Wanderers v Manchester United,W,0-1,League Division One
03 Apr 1948,Manchester United v Derby County,W,1-0,League Division One
07 Apr 1948,Manchester United v Manchester City,D,1-1,League Division One
10 Apr 1948,Everton v Manchester United,L,2-0,League Division One
17 Apr 1948,Manchester United v Chelsea,W,5-0,League Division One
24 Apr 1948,Manchester United v Blackpool,W,4-2,FA Cup
28 Apr 1948,Blackpool v Manchester United,L,1-0,League Division One
01 May 1948,Manchester United v Blackburn Rovers,W,4-1,League Division One
