Date,Match,Result,Score,Competition
10 Aug 2003,Manchester United v Arsenal,W,1-1 (4-3),FA Community Shield
16 Aug 2003,Manchester United v Bolton Wanderers,W,4-0,Premier League
23 Aug 2003,Newcastle United v Manchester United,W,1-2,Premier League
27 Aug 2003,Manchester United v Wolverhampton Wanderers,W,1-0,Premier League
31 Aug 2003,Southampton v Manchester United,L,1-0,Premier League
13 Sep 2003,Charlton Athletic v Manchester United,W,0-2,Premier League
16 Sep 2003,Manchester United v Panathinaikos,W,5-0,UEFA Champions League
21 Sep 2003,Manchester United v Arsenal,D,0-0,Premier League
27 Sep 2003,Leicester City v Manchester United,W,1-4,Premier League
01 Oct 2003,VfB Stuttgart v Manchester United,L,2-1,UEFA Champions League
04 Oct 2003,Manchester United v Birmingham City,W,3-0,Premier League
18 Oct 2003,Leeds United v Manchester United,W,0-1,Premier League
22 Oct 2003,Rangers v Manchester United,W,0-1,UEFA Champions League
25 Oct 2003,Manchester United v Fulham,L,1-3,Premier League
28 Oct 2003,Leeds United v Manchester United,W,2-3,League Cup
01 Nov 2003,Manchester United v Portsmouth,W,3-0,Premier League
04 Nov 2003,Manchester United v Rangers,W,3-0,UEFA Champions League
09 Nov 2003,Liverpool v Manchester United,W,1-2,Premier League
22 Nov 2003,Manchester United v Blackburn Rovers,W,2-1,Premier League
26 Nov 2003,Panathinaikos v Manchester United,W,0-1,UEFA Champions League
30 Nov 2003,Chelsea v Manchester United,L,1-0,Premier League
03 Dec 2003,West Bromwich Albion v Manchester United,L,2-0,League Cup
06 Dec 2003,Manchester United v Aston Villa,W,4-0,Premier League
09 Dec 2003,Manchester United v VfB Stuttgart,W,2-0,UEFA Champions League
13 Dec 2003,Manchester United v Manchester City,W,3-1,Premier League
21 Dec 2003,Tottenham Hotspur v Manchester United,W,1-2,Premier League
26 Dec 2003,Manchester United v Everton,W,3-2,Premier League
28 Dec 2003,Middlesbrough v Manchester United,W,0-1,Premier League
04 Jan 2004,Aston Villa v Manchester United,W,1-2,FA Cup
07 Jan 2004,Bolton Wanderers v Manchester United,W,1-2,Premier League
11 Jan 2004,Manchester United v Newcastle United,D,0-0,Premier League
17 Jan 2004,Wolverhampton Wanderers v Manchester United,L,1-0,Premier League
25 Jan 2004,Northampton Town v Manchester United,W,0-3,FA Cup
31 Jan 2004,Manchester United v Southampton,W,3-2,Premier League
07 Feb 2004,Everton v Manchester United,W,3-4,Premier League
11 Feb 2004,Manchester United v Middlesbrough,L,2-3,Premier League
14 Feb 2004,Manchester United v Manchester City,W,4-2,FA Cup
21 Feb 2004,Manchester United v Leeds United,D,1-1,Premier League
25 Feb 2004,FC Porto v Manchester United,L,2-1,UEFA Champions League
28 Feb 2004,Fulham v Manchester United,D,1-1,Premier League
06 Mar 2004,Manchester United v Fulham,W,2-1,FA Cup
09 Mar 2004,Manchester United v FC Porto,D,1-1Agg: 2-3,UEFA Champions League
14 Mar 2004,Manchester City v Manchester United,L,4-1,Premier League
20 Mar 2004,Manchester United v Tottenham Hotspur,W,3-0,Premier League
28 Mar 2004,Arsenal v Manchester United,D,1-1,Premier League
03 Apr 2004,Arsenal v Manchester United,W,0-1,FA Cup
10 Apr 2004,Birmingham City v Manchester United,W,1-2,Premier League
13 Apr 2004,Manchester United v Leicester City,W,1-0,Premier League
17 Apr 2004,Portsmouth v Manchester United,L,1-0,Premier League
20 Apr 2004,Manchester United v Charlton Athletic,W,2-0,Premier League
24 Apr 2004,Manchester United v Liverpool,L,0-1,Premier League
01 May 2004,Blackburn Rovers v Manchester United,L,1-0,Premier League
08 May 2004,Manchester United v Chelsea,D,1-1,Premier League
15 May 2004,Aston Villa v Manchester United,W,0-2,Premier League
22 May 2004,Manchester United v Millwall,W,3-0,FA Cup
