Date,Match,Result,Score,Competition
07 Aug 2016,Leicester City v Manchester United,W,1-2,FA Community Shield
14 Aug 2016,AFC Bournemouth v Manchester United,W,1-3,Premier League
19 Aug 2016,Manchester United v Southampton,W,2-0,Premier League
27 Aug 2016,Hull City v Manchester United,W,0-1,Premier League
10 Sep 2016,Manchester United v Manchester City,L,1-2,Premier League
15 Sep 2016,Feyenoord v Manchester United,L,1-0,UEFA Europa League
18 Sep 2016,Watford v Manchester United,L,3-1,Premier League
21 Sep 2016,Northampton Town v Manchester United,W,1-3,League Cup
24 Sep 2016,Manchester United v Leicester City,W,4-1,Premier League
29 Sep 2016,Manchester United v FC Zorya Luhansk,W,1-0,UEFA Europa League
02 Oct 2016,Manchester United v Stoke City,D,1-1,Premier League
17 Oct 2016,Liverpool v Manchester United,D,0-0,Premier League
20 Oct 2016,Manchester United v Fenerbahçe,W,4-1,UEFA Europa League
23 Oct 2016,Chelsea v Manchester United,L,4-0,Premier League
26 Oct 2016,Manchester United v Manchester City,W,1-0,League Cup
29 Oct 2016,Manchester United v Burnley,D,0-0,Premier League
03 Nov 2016,Fenerbahce v Manchester United,L,2-1,UEFA Europa League
06 Nov 2016,Swansea City v Manchester United,W,1-3,Premier League
19 Nov 2016,Manchester United v Arsenal,D,1-1,Premier League
24 Nov 2016,Manchester United v Feyenoord,W,4-0,UEFA Europa League
27 Nov 2016,Manchester United v West Ham United,D,1-1,Premier League
30 Nov 2016,Manchester United v West Ham United,W,4-1,League Cup
04 Dec 2016,Everton v Manchester United,D,1-1,Premier League
08 Dec 2016,FC Zorya Luhansk v Manchester United,W,0-2,UEFA Europa League
11 Dec 2016,Manchester United v Tottenham Hotspur,W,1-0,Premier League
14 Dec 2016,Crystal Palace v Manchester United,W,1-2,Premier League
17 Dec 2016,West Bromwich Albion v Manchester United,W,0-2,Premier League
26 Dec 2016,Manchester United v Sunderland,W,3-1,Premier League
31 Dec 2016,Manchester United v Middlesbrough,W,2-1,Premier League
02 Jan 2017,West Ham United v Manchester United,W,0-2,Premier League
07 Jan 2017,Manchester United v Reading,W,4-0,FA Cup
10 Jan 2017,Manchester United v Hull City,W,2-0,League Cup
15 Jan 2017,Manchester United v Liverpool,D,1-1,Premier League
21 Jan 2017,Stoke City v Manchester United,D,1-1,Premier League
26 Jan 2017,Hull City v Manchester United,L,2-1,League Cup
29 Jan 2017,Manchester United v Wigan Athletic,W,4-0,FA Cup
01 Feb 2017,Manchester United v Hull City,D,0-0,Premier League
05 Feb 2017,Leicester City v Manchester United,W,0-3,Premier League
11 Feb 2017,Manchester United v Watford,W,2-0,Premier League
16 Feb 2017,Manchester United v Saint-Étienne,W,3-0,UEFA Europa League
19 Feb 2017,Blackburn Rovers v Manchester United,W,1-2,FA Cup
22 Feb 2017,Saint-Étienne v Manchester United,W,0-1,UEFA Europa League
26 Feb 2017,Manchester United v Southampton,W,3-2,League Cup
04 Mar 2017,Manchester United v AFC Bournemouth,D,1-1,Premier League
09 Mar 2017,Rostov v Manchester United,D,1-1,UEFA Europa League
13 Mar 2017,Chelsea v Manchester United,L,1-0,FA Cup
16 Mar 2017,Manchester United v Rostov,W,1-0,UEFA Europa League
19 Mar 2017,Middlesbrough v Manchester United,W,1-3,Premier League
01 Apr 2017,Manchester United v West Bromwich Albion,D,0-0,Premier League
04 Apr 2017,Manchester United v Everton,D,1-1,Premier League
09 Apr 2017,Sunderland v Manchester United,W,0-3,Premier League
13 Apr 2017,Anderlecht v Manchester United,D,1-1,UEFA Europa League
16 Apr 2017,Manchester United v Chelsea,W,2-0,Premier League
20 Apr 2017,Manchester United v Anderlecht,W,2-1,UEFA Europa League
23 Apr 2017,Burnley v Manchester United,W,0-2,Premier League
27 Apr 2017,Manchester City v Manchester United,D,0-0,Premier League
30 Apr 2017,Manchester United v Swansea City,D,1-1,Premier League
04 May 2017,Celta Vigo v Manchester United,W,0-1,UEFA Europa League
07 May 2017,Arsenal v Manchester United,L,2-0,Premier League
11 May 2017,Manchester United v Celta Vigo,D,1-1,UEFA Europa League
14 May 2017,Tottenham Hotspur v Manchester United,L,2-1,Premier League
17 May 2017,Southampton v Manchester United,D,0-0,Premier League
21 May 2017,Manchester United v Crystal Palace,W,2-0,Premier League
24 May 2017,Ajax v Manchester United,W,0-2,UEFA Europa League
