Date,Match,Result,Score,Competition
29 Aug 1925,West Ham United v Manchester United,L,1-0,League Division One
02 Sep 1925,Manchester United v Aston Villa,W,3-0,League Division One
05 Sep 1925,Manchester United v Arsenal,L,0-1,League Division One
07 Sep 1925,Aston Villa v Manchester United,D,2-2,League Division One
12 Sep 1925,Manchester City v Manchester United,D,1-1,League Division One
16 Sep 1925,Manchester United v Leicester City,W,3-2,League Division One
19 Sep 1925,Liverpool v Manchester United,L,5-0,League Division One
26 Sep 1925,Manchester United v Burnley,W,6-1,League Division One
03 Oct 1925,Leeds United v Manchester United,L,2-0,League Division One
10 Oct 1925,Manchester United v Newcastle United,W,2-1,League Division One
17 Oct 1925,Manchester United v Tottenham Hotspur,D,0-0,League Division One
24 Oct 1925,Cardiff City v Manchester United,W,0-2,League Division One
31 Oct 1925,Manchester United v Huddersfield Town,D,1-1,League Division One
07 Nov 1925,Everton v Manchester United,W,1-3,League Division One
14 Nov 1925,Manchester United v Birmingham City,W,3-1,League Division One
21 Nov 1925,Bury v Manchester United,W,1-3,League Division One
28 Nov 1925,Manchester United v Blackburn Rovers,W,2-0,League Division One
05 Dec 1925,Sunderland v Manchester United,L,2-1,League Division One
12 Dec 1925,Manchester United v Sheffield United,L,1-2,League Division One
19 Dec 1925,West Bromwich Albion v Manchester United,L,5-1,League Division One
25 Dec 1925,Manchester United v Bolton Wanderers,W,2-1,League Division One
28 Dec 1925,Leicester City v Manchester United,W,1-3,League Division One
02 Jan 1926,Manchester United v West Ham United,W,2-1,League Division One
09 Jan 1926,Port Vale v Manchester United,W,2-3,FA Cup
16 Jan 1926,Arsenal v Manchester United,L,3-2,League Division One
23 Jan 1926,Manchester United v Manchester City,L,1-6,League Division One
30 Jan 1926,Tottenham Hotspur v Manchester United,D,2-2,FA Cup
03 Feb 1926,Manchester United v Tottenham Hotspur,W,2-0,FA Cup
06 Feb 1926,Burnley v Manchester United,W,0-1,League Division One
13 Feb 1926,Manchester United v Leeds United,W,2-1,League Division One
20 Feb 1926,Sunderland v Manchester United,D,3-3,FA Cup
24 Feb 1926,Manchester United v Sunderland,W,2-1,FA Cup
27 Feb 1926,Tottenham Hotspur v Manchester United,W,0-1,League Division One
06 Mar 1926,Fulham v Manchester United,W,1-2,FA Cup
10 Mar 1926,Manchester United v Liverpool,D,3-3,League Division One
13 Mar 1926,Huddersfield Town v Manchester United,L,5-0,League Division One
17 Mar 1926,Bolton Wanderers v Manchester United,L,3-1,League Division One
20 Mar 1926,Manchester United v Everton,D,0-0,League Division One
27 Mar 1926,Manchester City v Manchester United,L,3-0,FA Cup
02 Apr 1926,Notts County v Manchester United,W,0-3,League Division One
03 Apr 1926,Manchester United v Bury,L,0-1,League Division One
05 Apr 1926,Manchester United v Notts County,L,0-1,League Division One
10 Apr 1926,Blackburn Rovers v Manchester United,L,7-0,League Division One
14 Apr 1926,Newcastle United v Manchester United,L,4-1,League Division One
19 Apr 1926,Birmingham City v Manchester United,L,2-1,League Division One
21 Apr 1926,Manchester United v Sunderland,W,5-1,League Division One
24 Apr 1926,Sheffield United v Manchester United,L,2-0,League Division One
28 Apr 1926,Manchester United v Cardiff City,W,1-0,League Division One
01 May 1926,Manchester United v West Bromwich Albion,W,3-2,League Division One
