Date,Match,Result,Score,Competition
03 Sep 1892,Blackburn Rovers v Newton Heath,L,4-3,League Division One
10 Sep 1892,Newton Heath v Burnley,D,1-1,League Division One
17 Sep 1892,Burnley v Newton Heath,L,4-1,League Division One
24 Sep 1892,Everton v Newton Heath,L,6-0,League Division One
01 Oct 1892,West Bromwich Albion v Newton Heath,D,0-0,League Division One
08 Oct 1892,Newton Heath v West Bromwich Albion,L,2-4,League Division One
15 Oct 1892,Newton Heath v Wolverhampton Wanderers,W,10-1,League Division One
19 Oct 1892,Newton Heath v Everton,L,3-4,League Division One
22 Oct 1892,Sheffield Wednesday v Newton Heath,L,1-0,League Division One
29 Oct 1892,Nottingham Forest v Newton Heath,D,1-1,League Division One
05 Nov 1892,Newton Heath v Blackburn Rovers,D,4-4,League Division One
12 Nov 1892,Newton Heath v Notts County,L,1-3,League Division One
19 Nov 1892,Newton Heath v Aston Villa,W,2-0,League Division One
26 Nov 1892,Accrington v Newton Heath,D,2-2,League Division One
03 Dec 1892,Bolton Wanderers v Newton Heath,L,4-1,League Division One
10 Dec 1892,Newton Heath v Bolton Wanderers,W,1-0,League Division One
17 Dec 1892,Wolverhampton Wanderers v Newton Heath,L,2-0,League Division One
24 Dec 1892,Newton Heath v Sheffield Wednesday,L,1-5,League Division One
26 Dec 1892,Preston North End v Newton Heath,L,2-1,League Division One
31 Dec 1892,Newton Heath v Derby County,W,7-1,League Division One
07 Jan 1893,Stoke City v Manchester United,L,7-1,League Division One
14 Jan 1893,Newton Heath v Nottingham Forest,L,1-3,League Division One
21 Jan 1893,Blackburn Rovers v Newton Heath,L,4-0,FA Cup
26 Jan 1893,Notts County v Newton Heath,L,4-0,League Division One
11 Feb 1893,Derby County v Newton Heath,L,5-1,League Division One
04 Mar 1893,Newton Heath v Sunderland,L,0-5,League Division One
06 Mar 1893,Aston Villa v Newton Heath,L,2-0,League Division One
31 Mar 1893,Newton Heath v Stoke,W,1-0,League Division One
01 Apr 1893,Newton Heath v Preston North End,W,2-1,League Division One
04 Apr 1893,Sunderland v Newton Heath,L,6-0,League Division One
08 Apr 1893,Newton Heath v Accrington,D,3-3,League Division One
22 Apr 1893,Small Heath v Newton Heath,D,1-1,Test Match
27 Apr 1893,Small Heath v Newton Heath,W,2-5,Test Match
