Date,Match,Result,Score,Competition
10 Aug 2018,Manchester United v Leicester City,W,2-1,Premier League
19 Aug 2018,Brighton and Hove Albion v Manchester United,L,3-2,Premier League
27 Aug 2018,Manchester United v Tottenham Hotspur,L,0-3,Premier League
02 Sep 2018,Burnley v Manchester United,W,0-2,Premier League
15 Sep 2018,Watford v Manchester United,W,1-2,Premier League
19 Sep 2018,Young Boys Berne v Manchester United,W,0-3,UEFA Champions League
22 Sep 2018,Manchester United v Wolverhampton Wanderers,D,1-1,Premier League
25 Sep 2018,Manchester United v Derby County,L,2-2 (7-8),League Cup
29 Sep 2018,West Ham United v Manchester United,L,3-1,Premier League
02 Oct 2018,Manchester United v Valencia,D,0-0,UEFA Champions League
06 Oct 2018,Manchester United v Newcastle United,W,3-2,Premier League
20 Oct 2018,Chelsea v Manchester United,D,2-2,Premier League
23 Oct 2018,Manchester United v Juventus,L,0-1,UEFA Champions League
28 Oct 2018,Manchester United v Everton,W,2-1,Premier League
03 Nov 2018,AFC Bournemouth v Manchester United,W,1-2,Premier League
07 Nov 2018,Juventus v Manchester United,W,1-2,UEFA Champions League
11 Nov 2018,Manchester City v Manchester United,L,3-1,Premier League
24 Nov 2018,Manchester United v Crystal Palace,D,0-0,Premier League
27 Nov 2018,Manchester United v Young Boys Berne,W,1-0,UEFA Champions League
01 Dec 2018,Southampton v Manchester United,D,2-2,Premier League
05 Dec 2018,Manchester United v Arsenal,D,2-2,Premier League
08 Dec 2018,Manchester United v Fulham,W,4-1,Premier League
12 Dec 2018,Valencia v Manchester United,L,2-1,UEFA Champions League
16 Dec 2018,Liverpool v Manchester United,L,3-1,Premier League
22 Dec 2018,Cardiff City v Manchester United,W,1-5,Premier League
26 Dec 2018,Manchester United v Huddersfield Town,W,3-1,Premier League
30 Dec 2018,Manchester United v AFC Bournemouth,W,4-1,Premier League
02 Jan 2019,Newcastle United v Manchester United,W,0-2,Premier League
05 Jan 2019,Manchester United v Reading,W,2-0,FA Cup
13 Jan 2019,Tottenham Hotspur v Manchester United,W,0-1,Premier League
19 Jan 2019,Manchester United v Brighton and Hove Albion,W,2-1,Premier League
25 Jan 2019,Arsenal v Manchester United,W,1-3,FA Cup
29 Jan 2019,Manchester United v Burnley,D,2-2,Premier League
03 Feb 2019,Leicester City v Manchester United,W,0-1,Premier League
09 Feb 2019,Fulham v Manchester United,W,0-3,Premier League
12 Feb 2019,Manchester United v Paris St Germain,L,0-2,UEFA Champions League
18 Feb 2019,Chelsea v Manchester United,W,0-2,FA Cup
24 Feb 2019,Manchester United v Liverpool,D,0-0,Premier League
27 Feb 2019,Crystal Palace v Manchester United,W,1-3,Premier League
02 Mar 2019,Manchester United v Southampton,W,3-2,Premier League
06 Mar 2019,Paris St Germain v Manchester United,W,1-3,UEFA Champions League
10 Mar 2019,Arsenal v Manchester United,L,2-0,Premier League
16 Mar 2019,Wolverhampton Wanderers v Manchester United,L,2-1,FA Cup
30 Mar 2019,Manchester United v Watford,W,2-1,Premier League
02 Apr 2019,Wolverhampton Wanderers v Manchester United,L,2-1,Premier League
10 Apr 2019,Manchester United v Barcelona,L,0-1,UEFA Champions League
13 Apr 2019,Manchester United v West Ham United,W,2-1,Premier League
16 Apr 2019,Barcelona v Manchester United,L,3-0,UEFA Champions League
21 Apr 2019,Everton v Manchester United,L,4-0,Premier League
24 Apr 2019,Manchester United v Manchester City,L,0-2,Premier League
28 Apr 2019,Manchester United v Chelsea,D,1-1,Premier League
05 May 2019,Huddersfield Town v Manchester United,D,1-1,Premier League
12 May 2019,Manchester United v Cardiff City,L,0-2,Premier League
