Date,Match,Result,Score,Competition
23 Aug 1958,Manchester United v Chelsea,W,5-2,League Division One
27 Aug 1958,Nottingham Forest v Manchester United,W,0-3,League Division One
30 Aug 1958,Blackpool v Manchester United,L,2-1,League Division One
03 Sep 1958,Manchester United v Nottingham Forest,D,1-1,League Division One
06 Sep 1958,Manchester United v Blackburn Rovers,W,6-1,League Division One
08 Sep 1958,West Ham United v Manchester United,L,3-2,League Division One
13 Sep 1958,Newcastle United v Manchester United,D,1-1,League Division One
17 Sep 1958,Manchester United v West Ham United,W,4-1,League Division One
20 Sep 1958,Manchester United v Tottenham Hotspur,D,2-2,League Division One
27 Sep 1958,Manchester City v Manchester United,D,1-1,League Division One
04 Oct 1958,Wolverhampton Wanderers v Manchester United,L,4-0,League Division One
08 Oct 1958,Manchester United v Preston North End,L,0-2,League Division One
11 Oct 1958,Manchester United v Arsenal,D,1-1,League Division One
18 Oct 1958,Everton v Manchester United,L,3-2,League Division One
25 Oct 1958,Manchester United v West Bromwich Albion,L,1-2,League Division One
01 Nov 1958,Leeds United v Manchester United,W,1-2,League Division One
08 Nov 1958,Manchester United v Burnley,L,1-3,League Division One
15 Nov 1958,Bolton Wanderers v Manchester United,L,6-3,League Division One
22 Nov 1958,Manchester United v Luton Town,W,2-1,League Division One
29 Nov 1958,Birmingham City v Manchester United,W,0-4,League Division One
06 Dec 1958,Manchester United v Leicester City,W,4-1,League Division One
13 Dec 1958,Preston North End v Manchester United,W,3-4,League Division One
20 Dec 1958,Chelsea v Manchester United,W,2-3,League Division One
26 Dec 1958,Manchester United v Aston Villa,W,2-1,League Division One
27 Dec 1958,Aston Villa v Manchester United,W,0-2,League Division One
03 Jan 1959,Manchester United v Blackpool,W,3-1,League Division One
10 Jan 1959,Norwich City v Manchester United,L,3-0,FA Cup
31 Jan 1959,Manchester United v Newcastle United,D,4-4,League Division One
07 Feb 1959,Tottenham Hotspur v Manchester United,W,1-3,League Division One
14 Feb 1959,Manchester United v Manchester City,W,4-1,League Division One
21 Feb 1959,Manchester United v Wolverhampton Wanderers,W,2-1,League Division One
28 Feb 1959,Arsenal v Manchester United,L,3-2,League Division One
02 Mar 1959,Blackburn Rovers v Manchester United,W,1-3,League Division One
07 Mar 1959,Manchester United v Everton,W,2-1,League Division One
14 Mar 1959,West Bromwich Albion v Manchester United,W,1-3,League Division One
21 Mar 1959,Manchester United v Leeds United,W,4-0,League Division One
27 Mar 1959,Manchester United v Portsmouth,W,6-1,League Division One
28 Mar 1959,Burnley v Manchester United,L,4-2,League Division One
30 Mar 1959,Portsmouth v Manchester United,W,1-3,League Division One
04 Apr 1959,Manchester United v Bolton Wanderers,W,3-0,League Division One
11 Apr 1959,Luton Town v Manchester United,D,0-0,League Division One
18 Apr 1959,Manchester United v Birmingham City,W,1-0,League Division One
25 Apr 1959,Leicester City v Manchester United,L,2-1,League Division One
