Date,Match,Result,Score,Competition
31 Jul 1971,Halifax Town v Manchester United,L,2-1,Watney Cup
14 Aug 1971,Derby County v Manchester United,D,2-2,League Division One
18 Aug 1971,Chelsea v Manchester United,W,2-3,League Division One
20 Aug 1971,Manchester United v Arsenal,W,3-1,League Division One
23 Aug 1971,Manchester United v West Bromwich Albion,W,3-1,League Division One
28 Aug 1971,Wolverhampton Wanderers v Manchester United,D,1-1,League Division One
31 Aug 1971,Everton v Manchester United,L,1-0,League Division One
04 Sep 1971,Manchester United v Ipswich Town,W,1-0,League Division One
07 Sep 1971,Ipswich Town v Manchester United,W,1-3,League Cup
11 Sep 1971,Crystal Palace v Manchester United,W,1-3,League Division One
18 Sep 1971,Manchester United v West Ham United,W,4-2,League Division One
25 Sep 1971,Liverpool v Manchester United,D,2-2,League Division One
02 Oct 1971,Manchester United v Sheffield United,W,2-0,League Division One
06 Oct 1971,Manchester United v Burnley,D,1-1,League Cup
09 Oct 1971,Huddersfield Town v Manchester United,W,0-3,League Division One
16 Oct 1971,Manchester United v Derby County,W,1-0,League Division One
18 Oct 1971,Burnley v Manchester United,W,0-1,League Cup
23 Oct 1971,Newcastle United v Manchester United,W,0-1,League Division One
27 Oct 1971,Manchester United v Stoke City,D,1-1,League Cup
30 Oct 1971,Manchester United v Leeds United,L,0-1,League Division One
06 Nov 1971,Manchester City v Manchester United,D,3-3,League Division One
08 Nov 1971,Stoke City v Manchester United,D,0-0,League Cup
13 Nov 1971,Manchester United v Tottenham Hotspur,W,3-1,League Division One
15 Nov 1971,Stoke City v Manchester United,L,2-1,League Cup
20 Nov 1971,Manchester United v Leicester City,W,3-2,League Division One
27 Nov 1971,Southampton v Manchester United,W,2-5,League Division One
04 Dec 1971,Manchester United v Nottingham Forest,W,3-2,League Division One
11 Dec 1971,Stoke City v Manchester United,D,1-1,League Division One
18 Dec 1971,Ipswich Town v Manchester United,D,0-0,League Division One
27 Dec 1971,Manchester United v Coventry City,D,2-2,League Division One
01 Jan 1972,West Ham United v Manchester United,L,3-0,League Division One
08 Jan 1972,Manchester United v Wolverhampton Wanderers,L,1-3,League Division One
15 Jan 1972,Southampton v Manchester United,D,1-1,FA Cup
19 Jan 1972,Manchester United v Southampton,W,4-1,FA Cup
22 Jan 1972,Manchester United v Chelsea,L,0-1,League Division One
29 Jan 1972,West Bromwich Albion v Manchester United,L,2-1,League Division One
05 Feb 1972,Preston North End v Manchester United,W,0-2,FA Cup
12 Feb 1972,Manchester United v Newcastle United,L,0-2,League Division One
19 Feb 1972,Leeds United v Manchester United,L,5-1,League Division One
26 Feb 1972,Manchester United v Middlesbrough,D,0-0,FA Cup
29 Feb 1972,Middlesbrough v Manchester United,W,0-3,FA Cup
04 Mar 1972,Tottenham Hotspur v Manchester United,L,2-0,League Division One
08 Mar 1972,Manchester United v Everton,D,0-0,League Division One
11 Mar 1972,Manchester United v Huddersfield Town,W,2-0,League Division One
18 Mar 1972,Manchester United v Stoke City,D,1-1,FA Cup
22 Mar 1972,Stoke City v Manchester United,L,2-1,FA Cup
25 Mar 1972,Manchester United v Crystal Palace,W,4-0,League Division One
01 Apr 1972,Coventry City v Manchester United,W,2-3,League Division One
03 Apr 1972,Manchester United v Liverpool,L,0-3,League Division One
04 Apr 1972,Sheffield United v Manchester United,D,1-1,League Division One
08 Apr 1972,Leicester City v Manchester United,L,2-0,League Division One
12 Apr 1972,Manchester United v Manchester City,L,1-3,League Division One
15 Apr 1972,Manchester United v Southampton,W,3-2,League Division One
22 Apr 1972,Nottingham Forest v Manchester United,D,0-0,League Division One
25 Apr 1972,Arsenal v Manchester United,L,3-0,League Division One
29 Apr 1972,Manchester United v Stoke City,W,3-0,League Division One
