Date,Match,Result,Score,Competition
18 Aug 1979,Southampton v Manchester United,D,1-1,League Division One
22 Aug 1979,Manchester United v West Bromwich Albion,W,2-0,League Division One
25 Aug 1979,Arsenal v Manchester United,D,0-0,League Division One
29 Aug 1979,Tottenham Hotspur v Manchester United,L,2-1,League Cup
01 Sep 1979,Manchester United v Middlesbrough,W,2-1,League Division One
05 Sep 1979,Manchester United v Tottenham Hotspur,W,3-1Agg: 4-3,League Cup
08 Sep 1979,Aston Villa v Manchester United,W,0-3,League Division One
15 Sep 1979,Manchester United v Derby County,W,1-0,League Division One
22 Sep 1979,Wolverhampton Wanderers v Manchester United,L,3-1,League Division One
26 Sep 1979,Norwich City v Manchester United,L,4-1,League Cup
29 Sep 1979,Manchester United v Stoke City,W,4-0,League Division One
06 Oct 1979,Manchester United v Brighton and Hove Albion,W,2-0,League Division One
10 Oct 1979,West Bromwich Albion v Manchester United,L,2-0,League Division One
13 Oct 1979,Bristol City v Manchester United,D,1-1,League Division One
20 Oct 1979,Manchester United v Ipswich Town,W,1-0,League Division One
27 Oct 1979,Everton v Manchester United,D,0-0,League Division One
03 Nov 1979,Manchester United v Southampton,W,1-0,League Division One
10 Nov 1979,Manchester City v Manchester United,L,2-0,League Division One
17 Nov 1979,Manchester United v Crystal Palace,D,1-1,League Division One
24 Nov 1979,Manchester United v Norwich City,W,5-0,League Division One
01 Dec 1979,Tottenham Hotspur v Manchester United,W,1-2,League Division One
08 Dec 1979,Manchester United v Leeds United,D,1-1,League Division One
15 Dec 1979,Coventry City v Manchester United,W,1-2,League Division One
22 Dec 1979,Manchester United v Nottingham Forest,W,3-0,League Division One
26 Dec 1979,Liverpool v Manchester United,L,2-0,League Division One
29 Dec 1979,Manchester United v Arsenal,W,3-0,League Division One
05 Jan 1980,Tottenham Hotspur v Manchester United,D,1-1,FA Cup
09 Jan 1980,Manchester United v Tottenham Hotspur,L,0-1,FA Cup
12 Jan 1980,Middlesbrough v Manchester United,D,1-1,League Division One
02 Feb 1980,Derby County v Manchester United,W,1-3,League Division One
09 Feb 1980,Manchester United v Wolverhampton Wanderers,L,0-1,League Division One
16 Feb 1980,Stoke City v Manchester United,D,1-1,League Division One
23 Feb 1980,Manchester United v Bristol City,W,4-0,League Division One
27 Feb 1980,Manchester United v Bolton Wanderers,W,2-0,League Division One
01 Mar 1980,Ipswich Town v Manchester United,L,6-0,League Division One
12 Mar 1980,Manchester United v Everton,D,0-0,League Division One
15 Mar 1980,Brighton and Hove Albion v Manchester United,D,0-0,League Division One
22 Mar 1980,Manchester United v Manchester City,W,1-0,League Division One
29 Mar 1980,Crystal Palace v Manchester United,W,0-2,League Division One
02 Apr 1980,Nottingham Forest v Manchester United,L,2-0,League Division One
05 Apr 1980,Manchester United v Liverpool,W,2-1,League Division One
07 Apr 1980,Bolton Wanderers v Manchester United,W,1-3,League Division One
12 Apr 1980,Manchester United v Tottenham Hotspur,W,4-1,League Division One
19 Apr 1980,Norwich City v Manchester United,W,0-2,League Division One
23 Apr 1980,Manchester United v Aston Villa,W,2-1,League Division One
26 Apr 1980,Manchester United v Coventry City,W,2-1,League Division One
03 May 1980,Leeds United v Manchester United,L,2-0,League Division One
