Date,Match,Result,Score,Competition
14 Aug 2023,Manchester United v Wolverhampton Wanderers,W,1-0,Premier League
19 Aug 2023,Tottenham Hotspur v Manchester United,L,2-0,Premier League
26 Aug 2023,Manchester United v Nottingham Forest,W,3-2,Premier League
03 Sep 2023,Arsenal v Manchester United,L,3-1,Premier League
16 Sep 2023,Manchester United v Brighton and Hove Albion,L,1-3,Premier League
20 Sep 2023,Bayern Munchen v Manchester United,L,4-3,UEFA Champions League
23 Sep 2023,Burnley v Manchester United,W,0-1,Premier League
26 Sep 2023,Manchester United v Crystal Palace,W,3-0,League Cup
30 Sep 2023,Manchester United v Crystal Palace,L,0-1,Premier League
03 Oct 2023,Manchester United v Galatasaray,L,2-3,UEFA Champions League
07 Oct 2023,Manchester United v Brentford,W,2-1,Premier League
21 Oct 2023,Sheffield United v Manchester United,W,1-2,Premier League
24 Oct 2023,Manchester United v FC Kobenhavn,W,1-0,UEFA Champions League
29 Oct 2023,Manchester United v Manchester City,L,0-3,Premier League
01 Nov 2023,Manchester United v Newcastle United,L,0-3,League Cup
04 Nov 2023,Fulham v Manchester United,W,0-1,Premier League
08 Nov 2023,FC Kobenhavn v Manchester United,L,4-3,UEFA Champions League
11 Nov 2023,Manchester United v Luton Town,W,1-0,Premier League
26 Nov 2023,Everton v Manchester United,W,0-3,Premier League
29 Nov 2023,Galatasaray v Manchester United,D,3-3,UEFA Champions League
02 Dec 2023,Newcastle United v Manchester United,L,1-0,Premier League
06 Dec 2023,Manchester United v Chelsea,W,2-1,Premier League
09 Dec 2023,Manchester United v AFC Bournemouth,L,0-3,Premier League
12 Dec 2023,Manchester United v Bayern Munchen,L,0-1,UEFA Champions League
17 Dec 2023,Liverpool v Manchester United,D,0-0,Premier League
23 Dec 2023,West Ham United v Manchester United,L,2-0,Premier League
26 Dec 2023,Manchester United v Aston Villa,W,3-2,Premier League
30 Dec 2023,Nottingham Forest v Manchester United,L,2-1,Premier League
08 Jan 2024,Wigan Athletic v Manchester United,W,0-2,FA Cup
14 Jan 2024,Manchester United v Tottenham Hotspur,D,2-2,Premier League
28 Jan 2024,Newport County v Manchester United,W,2-4,FA Cup
01 Feb 2024,Wolverhampton Wanderers v Manchester United,W,3-4,Premier League
04 Feb 2024,Manchester United v West Ham United,W,3-0,Premier League
11 Feb 2024,Aston Villa v Manchester United,W,1-2,Premier League
18 Feb 2024,Luton Town v Manchester United,W,1-2,Premier League
24 Feb 2024,Manchester United v Fulham,L,1-2,Premier League
28 Feb 2024,Nottingham Forest v Manchester United,W,0-1,FA Cup
03 Mar 2024,Manchester City v Manchester United,L,3-1,Premier League
09 Mar 2024,Manchester United v Everton,W,2-0,Premier League
17 Mar 2024,Manchester United v Liverpool,W,4-3,FA Cup
30 Mar 2024,Brentford v Manchester United,D,1-1,Premier League
04 Apr 2024,Chelsea v Manchester United,L,4-3,Premier League
07 Apr 2024,Manchester United v Liverpool,D,2-2,Premier League
13 Apr 2024,AFC Bournemouth v Manchester United,D,2-2,Premier League
21 Apr 2024,Coventry City v Manchester United,W,3-3 (2-4),FA Cup
24 Apr 2024,Manchester United v Sheffield United,W,4-2,Premier League
27 Apr 2024,Manchester United v Burnley,D,1-1,Premier League
06 May 2024,Crystal Palace v Manchester United,L,4-0,Premier League
12 May 2024,Manchester United v Arsenal,L,0-1,Premier League
15 May 2024,Manchester United v Newcastle United,W,3-2,Premier League
19 May 2024,Brighton and Hove Albion v Manchester United,W,0-2,Premier League
25 May 2024,Manchester City v Manchester United,W,1-2,FA Cup
