Date,Match,Result,Score,Competition
11 Aug 1996,Manchester United v Newcastle United,W,4-0,FA Charity Shield
17 Aug 1996,Wimbledon v Manchester United,W,0-3,Premier League
21 Aug 1996,Manchester United v Everton,D,2-2,Premier League
25 Aug 1996,Manchester United v Blackburn Rovers,D,2-2,Premier League
04 Sep 1996,Derby County v Manchester United,D,1-1,Premier League
07 Sep 1996,Leeds United v Manchester United,W,0-4,Premier League
11 Sep 1996,Juventus v Manchester United,L,1-0,UEFA Champions League
14 Sep 1996,Manchester United v Nottingham Forest,W,4-1,Premier League
21 Sep 1996,Aston Villa v Manchester United,D,0-0,Premier League
25 Sep 1996,Manchester United v Rapid Wien,W,2-0,UEFA Champions League
29 Sep 1996,Manchester United v Tottenham Hotspur,W,2-0,Premier League
12 Oct 1996,Manchester United v Liverpool,W,1-0,Premier League
16 Oct 1996,Fenerbahçe v Manchester United,W,0-2,UEFA Champions League
20 Oct 1996,Newcastle United v Manchester United,L,5-0,Premier League
23 Oct 1996,Manchester United v Swindon Town,W,2-1,League Cup
26 Oct 1996,Southampton v Manchester United,L,6-3,Premier League
30 Oct 1996,Manchester United v Fenerbahçe,L,0-1,UEFA Champions League
02 Nov 1996,Manchester United v Chelsea,L,1-2,Premier League
16 Nov 1996,Manchester United v Arsenal,W,1-0,Premier League
20 Nov 1996,Manchester United v Juventus,L,0-1,UEFA Champions League
23 Nov 1996,Middlesbrough v Manchester United,D,2-2,Premier League
27 Nov 1996,Leicester City v Manchester United,L,2-0,League Cup
30 Nov 1996,Manchester United v Leicester City,W,3-1,Premier League
04 Dec 1996,Rapid Wien v Manchester United,W,0-2,UEFA Champions League
08 Dec 1996,West Ham United v Manchester United,D,2-2,Premier League
18 Dec 1996,Sheffield Wednesday v Manchester United,D,1-1,Premier League
21 Dec 1996,Manchester United v Sunderland,W,5-0,Premier League
26 Dec 1996,Nottingham Forest v Manchester United,W,0-4,Premier League
28 Dec 1996,Manchester United v Leeds United,W,1-0,Premier League
01 Jan 1997,Manchester United v Aston Villa,D,0-0,Premier League
05 Jan 1997,Manchester United v Tottenham Hotspur,W,2-0,FA Cup
12 Jan 1997,Tottenham Hotspur v Manchester United,W,1-2,Premier League
18 Jan 1997,Coventry City v Manchester United,W,0-2,Premier League
25 Jan 1997,Manchester United v Wimbledon,D,1-1,FA Cup
29 Jan 1997,Manchester United v Wimbledon,W,2-1,Premier League
01 Feb 1997,Manchester United v Southampton,W,2-1,Premier League
04 Feb 1997,Wimbledon v Manchester United,L,1-0,FA Cup
19 Feb 1997,Arsenal v Manchester United,W,1-2,Premier League
22 Feb 1997,Chelsea v Manchester United,D,1-1,Premier League
01 Mar 1997,Manchester United v Coventry City,W,3-1,Premier League
05 Mar 1997,Manchester United v FC Porto,W,4-0,UEFA Champions League
08 Mar 1997,Sunderland v Manchester United,L,2-1,Premier League
15 Mar 1997,Manchester United v Sheffield Wednesday,W,2-0,Premier League
19 Mar 1997,FC Porto v Manchester United,D,0-0Agg: 0-4,UEFA Champions League
22 Mar 1997,Everton v Manchester United,W,0-2,Premier League
05 Apr 1997,Manchester United v Derby County,L,2-3,Premier League
09 Apr 1997,Borussia Dortmund v Manchester United,L,1-0,UEFA Champions League
12 Apr 1997,Blackburn Rovers v Manchester United,W,2-3,Premier League
19 Apr 1997,Liverpool v Manchester United,W,1-3,Premier League
23 Apr 1997,Manchester United v Borussia Dortmund,L,0-1Agg: 0-2,UEFA Champions League
03 May 1997,Leicester City v Manchester United,D,2-2,Premier League
05 May 1997,Manchester United v Middlesbrough,D,3-3,Premier League
08 May 1997,Manchester United v Newcastle United,D,0-0,Premier League
11 May 1997,Manchester United v West Ham United,W,2-0,Premier League
