Date,Match,Result,Score,Competition
01 Sep 1906,Bristol City v Manchester United,W,1-2,League Division One
03 Sep 1906,Derby County v Manchester United,D,2-2,League Division One
08 Sep 1906,Manchester United v Notts County,D,0-0,League Division One
15 Sep 1906,Sheffield United v Manchester United,W,0-2,League Division One
22 Sep 1906,Manchester United v Bolton Wanderers,L,1-2,League Division One
29 Sep 1906,Manchester United v Derby County,D,1-1,League Division One
06 Oct 1906,Stoke v Manchester United,W,1-2,League Division One
13 Oct 1906,Manchester United v Blackburn Rovers,D,1-1,League Division One
20 Oct 1906,Sunderland v Manchester United,L,4-1,League Division One
27 Oct 1906,Manchester United v Birmingham City,W,2-1,League Division One
03 Nov 1906,Everton v Manchester United,L,3-0,League Division One
10 Nov 1906,Manchester United v Woolwich Arsenal,W,1-0,League Division One
17 Nov 1906,Sheffield Wednesday v Manchester United,L,5-2,League Division One
24 Nov 1906,Manchester United v Bury,L,2-4,League Division One
01 Dec 1906,Manchester City v Manchester United,L,3-0,League Division One
08 Dec 1906,Manchester United v Middlesbrough,W,3-1,League Division One
15 Dec 1906,Preston North End v Manchester United,L,2-0,League Division One
22 Dec 1906,Manchester United v Newcastle United,L,1-3,League Division One
25 Dec 1906,Manchester United v Liverpool,D,0-0,League Division One
26 Dec 1906,Aston Villa v Manchester United,L,2-0,League Division One
29 Dec 1906,Manchester United v Bristol City,D,0-0,League Division One
01 Jan 1907,Manchester United v Aston Villa,W,1-0,League Division One
05 Jan 1907,Notts County v Manchester United,L,3-0,League Division One
12 Jan 1907,Portsmouth v Manchester United,D,2-2,FA Cup
16 Jan 1907,Manchester United v Portsmouth,L,1-2,FA Cup
19 Jan 1907,Manchester United v Sheffield United,W,2-0,League Division One
26 Jan 1907,Bolton Wanderers v Manchester United,W,0-1,League Division One
02 Feb 1907,Newcastle United v Manchester United,L,5-0,League Division One
09 Feb 1907,Manchester United v Stoke,W,4-1,League Division One
16 Feb 1907,Blackburn Rovers v Manchester United,W,2-4,League Division One
23 Feb 1907,Manchester United v Preston North End,W,3-0,League Division One
02 Mar 1907,Birmingham City v Manchester United,D,1-1,League Division One
16 Mar 1907,Woolwich Arsenal v Manchester United,L,4-0,League Division One
25 Mar 1907,Manchester United v Sunderland,W,2-0,League Division One
30 Mar 1907,Bury v Manchester United,W,1-2,League Division One
01 Apr 1907,Liverpool v Manchester United,W,0-1,League Division One
06 Apr 1907,Manchester United v Manchester City,D,1-1,League Division One
10 Apr 1907,Manchester United v Sheffield Wednesday,W,5-0,League Division One
13 Apr 1907,Middlesbrough v Manchester United,L,2-0,League Division One
22 Apr 1907,Manchester United v Everton,W,3-0,League Division One
