Date,Match,Result,Score,Competition
09 Aug 2005,Manchester United v Debrecen,W,3-0,UEFA Champions League
13 Aug 2005,Everton v Manchester United,W,0-2,Premier League
20 Aug 2005,Manchester United v Aston Villa,W,1-0,Premier League
24 Aug 2005,Debrecen v Manchester United,W,0-3Agg: 0-6,UEFA Champions League
28 Aug 2005,Newcastle United v Manchester United,W,0-2,Premier League
10 Sep 2005,Manchester United v Manchester City,D,1-1,Premier League
14 Sep 2005,Villarreal v Manchester United,D,0-0,UEFA Champions League
18 Sep 2005,Liverpool v Manchester United,D,0-0,Premier League
24 Sep 2005,Manchester United v Blackburn Rovers,L,1-2,Premier League
27 Sep 2005,Manchester United v Benfica,W,2-1,UEFA Champions League
01 Oct 2005,Fulham v Manchester United,W,2-3,Premier League
15 Oct 2005,Sunderland v Manchester United,W,1-3,Premier League
18 Oct 2005,Manchester United v Lille,D,0-0,UEFA Champions League
22 Oct 2005,Manchester United v Tottenham Hotspur,D,1-1,Premier League
26 Oct 2005,Manchester United v Barnet,W,4-1,League Cup
29 Oct 2005,Middlesbrough v Manchester United,L,4-1,Premier League
02 Nov 2005,Lille v Manchester United,L,1-0,UEFA Champions League
06 Nov 2005,Manchester United v Chelsea,W,1-0,Premier League
19 Nov 2005,Charlton Athletic v Manchester United,W,1-3,Premier League
22 Nov 2005,Manchester United v Villarreal,D,0-0,UEFA Champions League
27 Nov 2005,West Ham United v Manchester United,W,1-2,Premier League
30 Nov 2005,Manchester United v West Bromwich Albion,W,3-1,League Cup
03 Dec 2005,Manchester United v Portsmouth,W,3-0,Premier League
07 Dec 2005,Benfica v Manchester United,L,2-1,UEFA Champions League
11 Dec 2005,Manchester United v Everton,D,1-1,Premier League
14 Dec 2005,Manchester United v Wigan Athletic,W,4-0,Premier League
17 Dec 2005,Aston Villa v Manchester United,W,0-2,Premier League
20 Dec 2005,Birmingham City v Manchester United,W,1-3,League Cup
26 Dec 2005,Manchester United v West Bromwich Albion,W,3-0,Premier League
28 Dec 2005,Birmingham City v Manchester United,D,2-2,Premier League
31 Dec 2005,Manchester United v Bolton Wanderers,W,4-1,Premier League
03 Jan 2006,Arsenal v Manchester United,D,0-0,Premier League
08 Jan 2006,Burton Albion v Manchester United,D,0-0,FA Cup
11 Jan 2006,Blackburn Rovers v Manchester United,D,1-1,League Cup
14 Jan 2006,Manchester City v Manchester United,L,3-1,Premier League
18 Jan 2006,Manchester United v Burton Albion,W,5-0,FA Cup
22 Jan 2006,Manchester United v Liverpool,W,1-0,Premier League
25 Jan 2006,Manchester United v Blackburn Rovers,W,2-1Agg: 3-2,League Cup
29 Jan 2006,Wolverhampton Wanderers v Manchester United,W,0-3,FA Cup
01 Feb 2006,Blackburn Rovers v Manchester United,L,4-3,Premier League
04 Feb 2006,Manchester United v Fulham,W,4-2,Premier League
11 Feb 2006,Portsmouth v Manchester United,W,1-3,Premier League
18 Feb 2006,Liverpool v Manchester United,L,1-0,FA Cup
26 Feb 2006,Manchester United v Wigan Athletic,W,4-0,League Cup
06 Mar 2006,Wigan Athletic v Manchester United,W,1-2,Premier League
12 Mar 2006,Manchester United v Newcastle United,W,2-0,Premier League
18 Mar 2006,West Bromwich Albion v Manchester United,W,1-2,Premier League
26 Mar 2006,Manchester United v Birmingham City,W,3-0,Premier League
29 Mar 2006,Manchester United v West Ham United,W,1-0,Premier League
01 Apr 2006,Bolton Wanderers v Manchester United,W,1-2,Premier League
09 Apr 2006,Manchester United v Arsenal,W,2-0,Premier League
14 Apr 2006,Manchester United v Sunderland,D,0-0,Premier League
17 Apr 2006,Tottenham Hotspur v Manchester United,W,1-2,Premier League
29 Apr 2006,Chelsea v Manchester United,L,3-0,Premier League
01 May 2006,Manchester United v Middlesbrough,D,0-0,Premier League
07 May 2006,Manchester United v Charlton Athletic,W,4-0,Premier League
