Date,Match,Result,Score,Competition
25 Aug 1928,Manchester United v Leicester City,D,1-1,League Division One
27 Aug 1928,Aston Villa v Manchester United,D,0-0,League Division One
01 Sep 1928,Manchester City v Manchester United,D,2-2,League Division One
08 Sep 1928,Leeds United v Manchester United,L,3-2,League Division One
15 Sep 1928,Manchester United v Liverpool,D,2-2,League Division One
22 Sep 1928,West Ham United v Manchester United,L,3-1,League Division One
29 Sep 1928,Manchester United v Newcastle United,W,5-0,League Division One
06 Oct 1928,Burnley v Manchester United,W,3-4,League Division One
13 Oct 1928,Manchester United v Cardiff City,D,1-1,League Division One
20 Oct 1928,Manchester United v Birmingham City,W,1-0,League Division One
27 Oct 1928,Huddersfield Town v Manchester United,W,1-2,League Division One
03 Nov 1928,Manchester United v Bolton Wanderers,D,1-1,League Division One
10 Nov 1928,Sheffield Wednesday v Manchester United,L,2-1,League Division One
17 Nov 1928,Manchester United v Derby County,L,0-1,League Division One
24 Nov 1928,Sunderland v Manchester United,L,5-1,League Division One
01 Dec 1928,Manchester United v Blackburn Rovers,L,1-4,League Division One
08 Dec 1928,Arsenal v Manchester United,L,3-1,League Division One
15 Dec 1928,Manchester United v Everton,D,1-1,League Division One
22 Dec 1928,Portsmouth v Manchester United,L,3-0,League Division One
25 Dec 1928,Manchester United v Sheffield United,D,1-1,League Division One
26 Dec 1928,Sheffield United v Manchester United,L,6-1,League Division One
29 Dec 1928,Leicester City v Manchester United,L,2-1,League Division One
01 Jan 1929,Manchester United v Aston Villa,D,2-2,League Division One
05 Jan 1929,Manchester United v Manchester City,L,1-2,League Division One
12 Jan 1929,Port Vale v Manchester United,W,0-3,FA Cup
19 Jan 1929,Manchester United v Leeds United,L,1-2,League Division One
26 Jan 1929,Manchester United v Bury,L,0-1,FA Cup
02 Feb 1929,Manchester United v West Ham United,L,2-3,League Division One
09 Feb 1929,Newcastle United v Manchester United,L,5-0,League Division One
13 Feb 1929,Liverpool v Manchester United,W,2-3,League Division One
16 Feb 1929,Manchester United v Burnley,W,1-0,League Division One
23 Feb 1929,Cardiff City v Manchester United,D,2-2,League Division One
02 Mar 1929,Birmingham City v Manchester United,D,1-1,League Division One
09 Mar 1929,Manchester United v Huddersfield Town,W,1-0,League Division One
16 Mar 1929,Bolton Wanderers v Manchester United,D,1-1,League Division One
23 Mar 1929,Manchester United v Sheffield Wednesday,W,2-1,League Division One
29 Mar 1929,Bury v Manchester United,W,1-3,League Division One
30 Mar 1929,Derby County v Manchester United,L,6-1,League Division One
01 Apr 1929,Manchester United v Bury,W,1-0,League Division One
06 Apr 1929,Manchester United v Sunderland,W,3-0,League Division One
13 Apr 1929,Blackburn Rovers v Manchester United,W,0-3,League Division One
20 Apr 1929,Manchester United v Arsenal,W,4-1,League Division One
27 Apr 1929,Everton v Manchester United,W,2-4,League Division One
04 May 1929,Manchester United v Portsmouth,D,0-0,League Division One
