Date,Match,Result,Score,Competition
12 Aug 2001,Manchester United v Liverpool,L,1-2,FA Charity Shield
19 Aug 2001,Manchester United v Fulham,W,3-2,Premier League
22 Aug 2001,Blackburn Rovers v Manchester United,D,2-2,Premier League
26 Aug 2001,Aston Villa v Manchester United,D,1-1,Premier League
08 Sep 2001,Manchester United v Everton,W,4-1,Premier League
15 Sep 2001,Newcastle United v Manchester United,L,4-3,Premier League
18 Sep 2001,Manchester United v Lille,W,1-0,UEFA Champions League
22 Sep 2001,Manchester United v Ipswich Town,W,4-0,Premier League
25 Sep 2001,Deportivo La Coruña v Manchester United,L,2-1,UEFA Champions League
29 Sep 2001,Tottenham Hotspur v Manchester United,W,3-5,Premier League
10 Oct 2001,Olympiakos v Manchester United,W,0-2,UEFA Champions League
13 Oct 2001,Sunderland v Manchester United,W,1-3,Premier League
17 Oct 2001,Manchester United v Deportivo La Coruña,L,2-3,UEFA Champions League
20 Oct 2001,Manchester United v Bolton Wanderers,L,1-2,Premier League
23 Oct 2001,Manchester United v Olympiakos,W,3-0,UEFA Champions League
27 Oct 2001,Manchester United v Leeds United,D,1-1,Premier League
31 Oct 2001,Lille v Manchester United,D,1-1,UEFA Champions League
04 Nov 2001,Liverpool v Manchester United,L,3-1,Premier League
05 Nov 2001,Arsenal v Manchester United,L,4-0,League Cup
17 Nov 2001,Manchester United v Leicester City,W,2-0,Premier League
20 Nov 2001,Bayern München v Manchester United,D,1-1,UEFA Champions League
25 Nov 2001,Arsenal v Manchester United,L,3-1,Premier League
01 Dec 2001,Manchester United v Chelsea,L,0-3,Premier League
05 Dec 2001,Manchester United v Boavista,W,3-0,UEFA Champions League
08 Dec 2001,Manchester United v West Ham United,L,0-1,Premier League
12 Dec 2001,Manchester United v Derby County,W,5-0,Premier League
15 Dec 2001,Middlesbrough v Manchester United,W,0-1,Premier League
22 Dec 2001,Manchester United v Southampton,W,6-1,Premier League
26 Dec 2001,Everton v Manchester United,W,0-2,Premier League
30 Dec 2001,Fulham v Manchester United,W,2-3,Premier League
02 Jan 2002,Manchester United v Newcastle United,W,3-1,Premier League
06 Jan 2002,Aston Villa v Manchester United,W,2-3,FA Cup
13 Jan 2002,Southampton v Manchester United,W,1-3,Premier League
19 Jan 2002,Manchester United v Blackburn Rovers,W,2-1,Premier League
22 Jan 2002,Manchester United v Liverpool,L,0-1,Premier League
26 Jan 2002,Middlesbrough v Manchester United,L,2-0,FA Cup
29 Jan 2002,Bolton Wanderers v Manchester United,W,0-4,Premier League
02 Feb 2002,Manchester United v Sunderland,W,4-1,Premier League
10 Feb 2002,Charlton Athletic v Manchester United,W,0-2,Premier League
20 Feb 2002,Nantes v Manchester United,D,1-1,UEFA Champions League
23 Feb 2002,Manchester United v Aston Villa,W,1-0,Premier League
26 Feb 2002,Manchester United v Nantes,W,5-1,UEFA Champions League
03 Mar 2002,Derby County v Manchester United,D,2-2,Premier League
06 Mar 2002,Manchester United v Tottenham Hotspur,W,4-0,Premier League
13 Mar 2002,Manchester United v Bayern Munchen,D,0-0,UEFA Champions League
16 Mar 2002,West Ham United v Manchester United,W,3-5,Premier League
19 Mar 2002,Boavista v Manchester United,W,0-3,UEFA Champions League
23 Mar 2002,Manchester United v Middlesbrough,L,0-1,Premier League
30 Mar 2002,Leeds United v Manchester United,W,3-4,Premier League
02 Apr 2002,Deportivo La Coruña v Manchester United,W,0-2,UEFA Champions League
06 Apr 2002,Leicester City v Manchester United,W,0-1,Premier League
10 Apr 2002,Manchester United v Deportivo La Coruña,W,3-2Agg: 5-2,UEFA Champions League
20 Apr 2002,Chelsea v Manchester United,W,0-3,Premier League
24 Apr 2002,Manchester United v Bayer Leverkusen,D,2-2,UEFA Champions League
27 Apr 2002,Ipswich Town v Manchester United,W,0-1,Premier League
30 Apr 2002,Bayer Leverkusen v Manchester United,D,1-1Agg: 3-3,UEFA Champions League
08 May 2002,Manchester United v Arsenal,L,0-1,Premier League
11 May 2002,Manchester United v Charlton Athletic,D,0-0,Premier League
