Date,Match,Result,Score,Competition
29 Aug 1908,Manchester United v Queens Park Rangers,W,4-0,FA Charity Shield
05 Sep 1908,Preston North End v Manchester United,W,0-3,League Division One
07 Sep 1908,Manchester United v Bury,W,2-1,League Division One
12 Sep 1908,Manchester United v Middlesbrough,W,6-3,League Division One
19 Sep 1908,Manchester City v Manchester United,W,1-2,League Division One
26 Sep 1908,Manchester United v Liverpool,W,3-2,League Division One
03 Oct 1908,Bury v Manchester United,D,2-2,League Division One
10 Oct 1908,Manchester United v Sheffield United,W,2-1,League Division One
17 Oct 1908,Aston Villa v Manchester United,L,3-1,League Division One
24 Oct 1908,Manchester United v Nottingham Forest,D,2-2,League Division One
31 Oct 1908,Sunderland v Manchester United,L,6-1,League Division One
07 Nov 1908,Manchester United v Chelsea,L,0-1,League Division One
14 Nov 1908,Blackburn Rovers v Manchester United,W,1-3,League Division One
21 Nov 1908,Manchester United v Bradford City,W,2-0,League Division One
28 Nov 1908,Manchester United v Sheffield Wednesday,W,3-1,League Division One
05 Dec 1908,Everton v Manchester United,L,3-2,League Division One
12 Dec 1908,Manchester United v Leicester Fosse,W,4-2,League Division One
19 Dec 1908,Woolwich Arsenal v Manchester United,W,0-1,League Division One
25 Dec 1908,Newcastle United v Manchester United,L,2-1,League Division One
26 Dec 1908,Manchester United v Newcastle United,W,1-0,League Division One
01 Jan 1909,Manchester United v Notts County,W,4-3,League Division One
02 Jan 1909,Manchester United v Preston North End,L,0-2,League Division One
09 Jan 1909,Middlesbrough v Manchester United,L,5-0,League Division One
16 Jan 1909,Manchester United v Brighton and Hove Albion,W,1-0,FA Cup
23 Jan 1909,Manchester United v Manchester City,W,3-1,League Division One
30 Jan 1909,Liverpool v Manchester United,L,3-1,League Division One
06 Feb 1909,Manchester United v Everton,W,1-0,FA Cup
13 Feb 1909,Sheffield United v Manchester United,D,0-0,League Division One
20 Feb 1909,Manchester United v Blackburn Rovers,W,6-1,FA Cup
27 Feb 1909,Nottingham Forest v Manchester United,L,2-0,League Division One
10 Mar 1909,Burnley v Manchester United,W,2-3,FA Cup
13 Mar 1909,Chelsea v Manchester United,D,1-1,League Division One
15 Mar 1909,Manchester United v Sunderland,D,2-2,League Division One
20 Mar 1909,Manchester United v Blackburn Rovers,L,0-3,League Division One
27 Mar 1909,Manchester United v Newcastle United,W,1-0,FA Cup
31 Mar 1909,Manchester United v Aston Villa,L,0-2,League Division One
03 Apr 1909,Sheffield Wednesday v Manchester United,L,2-0,League Division One
09 Apr 1909,Manchester United v Bristol City,L,0-1,League Division One
10 Apr 1909,Manchester United v Everton,D,2-2,League Division One
12 Apr 1909,Bristol City v Manchester United,D,0-0,League Division One
13 Apr 1909,Notts County v Manchester United,W,0-1,League Division One
17 Apr 1909,Leicester Fosse v Manchester United,L,3-2,League Division One
24 Apr 1909,Manchester United v Bristol City,W,1-0,FA Cup
27 Apr 1909,Manchester United v Woolwich Arsenal,L,1-4,League Division One
29 Apr 1909,Bradford City v Manchester United,L,1-0,League Division One
