Date,Match,Result,Score,Competition
25 Aug 1984,Manchester United v Watford,D,1-1,League Division One
28 Aug 1984,Southampton v Manchester United,D,0-0,League Division One
01 Sep 1984,Ipswich Town v Manchester United,D,1-1,League Division One
05 Sep 1984,Manchester United v Chelsea,D,1-1,League Division One
08 Sep 1984,Manchester United v Newcastle United,W,5-0,League Division One
15 Sep 1984,Coventry City v Manchester United,W,0-3,League Division One
19 Sep 1984,Manchester United v Raba Vasas ETO,W,3-0,UEFA Cup
22 Sep 1984,Manchester United v Liverpool,D,1-1,League Division One
26 Sep 1984,Manchester United v Burnley,W,4-0,League Cup
29 Sep 1984,West Bromwich Albion v Manchester United,W,1-2,League Division One
03 Oct 1984,Raba Vasas ETO v Manchester United,D,2-2Agg: 2-5,UEFA Cup
06 Oct 1984,Aston Villa v Manchester United,L,3-0,League Division One
09 Oct 1984,Burnley v Manchester United,W,0-3Agg: 0-7,League Cup
13 Oct 1984,Manchester United v West Ham United,W,5-1,League Division One
20 Oct 1984,Manchester United v Tottenham Hotspur,W,1-0,League Division One
24 Oct 1984,PSV Eindhoven v Manchester United,D,0-0,UEFA Cup
27 Oct 1984,Everton v Manchester United,L,5-0,League Division One
30 Oct 1984,Manchester United v Everton,L,1-2,League Cup
02 Nov 1984,Manchester United v Arsenal,W,4-2,League Division One
07 Nov 1984,Manchester United v PSV Eindhoven,W,1-0Agg: 1-0,UEFA Cup
10 Nov 1984,Leicester City v Manchester United,W,2-3,League Division One
17 Nov 1984,Manchester United v Luton Town,W,2-0,League Division One
24 Nov 1984,Sunderland v Manchester United,L,3-2,League Division One
28 Nov 1984,Manchester United v Dundee United,D,2-2,UEFA Cup
01 Dec 1984,Manchester United v Norwich City,W,2-0,League Division One
08 Dec 1984,Nottingham Forest v Manchester United,L,3-2,League Division One
12 Dec 1984,Dundee United v Manchester United,W,2-3Agg: 4-5,UEFA Cup
15 Dec 1984,Manchester United v Queens Park Rangers,W,3-0,League Division One
22 Dec 1984,Manchester United v Ipswich Town,W,3-0,League Division One
26 Dec 1984,Stoke City v Manchester United,L,2-1,League Division One
29 Dec 1984,Chelsea v Manchester United,W,1-3,League Division One
01 Jan 1985,Manchester United v Sheffield Wednesday,L,1-2,League Division One
05 Jan 1985,Manchester United v AFC Bournemouth,W,3-0,FA Cup
12 Jan 1985,Manchester United v Coventry City,L,0-1,League Division One
26 Jan 1985,Manchester United v Coventry City,W,2-1,FA Cup
02 Feb 1985,Manchester United v West Bromwich Albion,W,2-0,League Division One
09 Feb 1985,Newcastle United v Manchester United,D,1-1,League Division One
15 Feb 1985,Blackburn Rovers v Manchester United,W,0-2,FA Cup
23 Feb 1985,Arsenal v Manchester United,W,0-1,League Division One
02 Mar 1985,Manchester United v Everton,D,1-1,League Division One
06 Mar 1985,Manchester United v Videoton,W,1-0,UEFA Cup
09 Mar 1985,Manchester United v West Ham United,W,4-2,FA Cup
12 Mar 1985,Tottenham Hotspur v Manchester United,W,1-2,League Division One
15 Mar 1985,West Ham United v Manchester United,D,2-2,League Division One
20 Mar 1985,Videoton v Manchester United,L,1-0Agg: 1-1 (5-4),UEFA Cup
23 Mar 1985,Manchester United v Aston Villa,W,4-0,League Division One
31 Mar 1985,Liverpool v Manchester United,W,0-1,League Division One
03 Apr 1985,Manchester United v Leicester City,W,2-1,League Division One
06 Apr 1985,Manchester United v Stoke City,W,5-0,League Division One
09 Apr 1985,Sheffield Wednesday v Manchester United,L,1-0,League Division One
13 Apr 1985,Manchester United v Liverpool,D,2-2,FA Cup
17 Apr 1985,Manchester United v Liverpool,W,2-1,FA Cup
21 Apr 1985,Luton Town v Manchester United,L,2-1,League Division One
24 Apr 1985,Manchester United v Southampton,D,0-0,League Division One
27 Apr 1985,Manchester United v Sunderland,D,2-2,League Division One
04 May 1985,Norwich City v Manchester United,W,0-1,League Division One
06 May 1985,Manchester United v Nottingham Forest,W,2-0,League Division One
11 May 1985,Queens Park Rangers v Manchester United,W,1-3,League Division One
13 May 1985,Watford v Manchester United,L,5-1,League Division One
18 May 1985,Manchester United v Everton,W,1-0,FA Cup
