Date,Match,Result,Score,Competition
28 Aug 1982,Manchester United v Birmingham City,W,3-0,League Division One
01 Sep 1982,Nottingham Forest v Manchester United,W,0-3,League Division One
04 Sep 1982,West Bromwich Albion v Manchester United,L,3-1,League Division One
08 Sep 1982,Manchester United v Everton,W,2-1,League Division One
11 Sep 1982,Manchester United v Ipswich Town,W,3-1,League Division One
15 Sep 1982,Manchester United v Valencia,D,0-0,UEFA Cup
18 Sep 1982,Southampton v Manchester United,W,0-1,League Division One
25 Sep 1982,Manchester United v Arsenal,D,0-0,League Division One
29 Sep 1982,Valencia v Manchester United,L,2-1Agg: 2-1,UEFA Cup
02 Oct 1982,Luton Town v Manchester United,D,1-1,League Division One
06 Oct 1982,Manchester United v AFC Bournemouth,W,2-0,League Cup
09 Oct 1982,Manchester United v Stoke City,W,1-0,League Division One
16 Oct 1982,Liverpool v Manchester United,D,0-0,League Division One
23 Oct 1982,Manchester United v Manchester City,D,2-2,League Division One
26 Oct 1982,AFC Bournemouth v Manchester United,D,2-2Agg: 2-4,League Cup
30 Oct 1982,West Ham United v Manchester United,L,3-1,League Division One
06 Nov 1982,Brighton and Hove Albion v Manchester United,L,1-0,League Division One
10 Nov 1982,Bradford City v Manchester United,D,0-0,League Cup
13 Nov 1982,Manchester United v Tottenham Hotspur,W,1-0,League Division One
20 Nov 1982,Aston Villa v Manchester United,L,2-1,League Division One
24 Nov 1982,Manchester United v Bradford City,W,4-1,League Cup
27 Nov 1982,Manchester United v Norwich City,W,3-0,League Division One
01 Dec 1982,Manchester United v Southampton,W,2-0,League Cup
04 Dec 1982,Watford v Manchester United,W,0-1,League Division One
11 Dec 1982,Manchester United v Notts County,W,4-0,League Division One
18 Dec 1982,Swansea City v Manchester United,D,0-0,League Division One
27 Dec 1982,Manchester United v Sunderland,D,0-0,League Division One
28 Dec 1982,Coventry City v Manchester United,L,3-0,League Division One
01 Jan 1983,Manchester United v Aston Villa,W,3-1,League Division One
03 Jan 1983,Manchester United v West Bromwich Albion,D,0-0,League Division One
08 Jan 1983,Manchester United v West Ham United,W,2-0,FA Cup
15 Jan 1983,Birmingham City v Manchester United,W,1-2,League Division One
19 Jan 1983,Manchester United v Nottingham Forest,W,4-0,League Cup
22 Jan 1983,Manchester United v Nottingham Forest,W,2-0,League Division One
29 Jan 1983,Luton Town v Manchester United,W,0-2,FA Cup
05 Feb 1983,Ipswich Town v Manchester United,D,1-1,League Division One
15 Feb 1983,Arsenal v Manchester United,W,2-4,League Cup
19 Feb 1983,Derby County v Manchester United,W,0-1,FA Cup
22 Feb 1983,Manchester United v Arsenal,W,2-1Agg: 6-3,League Cup
26 Feb 1983,Manchester United v Liverpool,D,1-1,League Division One
02 Mar 1983,Stoke City v Manchester United,L,1-0,League Division One
05 Mar 1983,Manchester City v Manchester United,W,1-2,League Division One
12 Mar 1983,Manchester United v Everton,W,1-0,FA Cup
19 Mar 1983,Manchester United v Brighton and Hove Albion,D,1-1,League Division One
22 Mar 1983,Manchester United v West Ham United,W,2-1,League Division One
26 Mar 1983,Liverpool v Manchester United,L,2-1,League Cup
02 Apr 1983,Manchester United v Coventry City,W,3-0,League Division One
04 Apr 1983,Sunderland v Manchester United,D,0-0,League Division One
09 Apr 1983,Manchester United v Southampton,D,1-1,League Division One
16 Apr 1983,Arsenal v Manchester United,W,1-2,FA Cup
19 Apr 1983,Everton v Manchester United,L,2-0,League Division One
23 Apr 1983,Manchester United v Watford,W,2-0,League Division One
30 Apr 1983,Norwich City v Manchester United,D,1-1,League Division One
02 May 1983,Arsenal v Manchester United,L,3-0,League Division One
07 May 1983,Manchester United v Swansea City,W,2-1,League Division One
09 May 1983,Manchester United v Luton Town,W,3-0,League Division One
11 May 1983,Tottenham Hotspur v Manchester United,L,2-0,League Division One
14 May 1983,Notts County v Manchester United,L,3-2,League Division One
21 May 1983,Brighton and Hove Albion v Manchester United,D,2-2,FA Cup
26 May 1983,Brighton and Hove Albion v Manchester United,W,0-4,FA Cup
