Date,Match,Result,Score,Competition
16 Aug 1975,Wolverhampton Wanderers v Manchester United,W,0-2,League Division One
19 Aug 1975,Birmingham City v Manchester United,W,0-2,League Division One
23 Aug 1975,Manchester United v Sheffield United,W,5-1,League Division One
27 Aug 1975,Manchester United v Coventry City,D,1-1,League Division One
30 Aug 1975,Stoke City v Manchester United,W,0-1,League Division One
06 Sep 1975,Manchester United v Tottenham Hotspur,W,3-2,League Division One
10 Sep 1975,Manchester United v Brentford,W,2-1,League Cup
13 Sep 1975,Queens Park Rangers v Manchester United,L,1-0,League Division One
20 Sep 1975,Manchester United v Ipswich Town,W,1-0,League Division One
24 Sep 1975,Derby County v Manchester United,L,2-1,League Division One
27 Sep 1975,Manchester City v Manchester United,D,2-2,League Division One
04 Oct 1975,Manchester United v Leicester City,D,0-0,League Division One
08 Oct 1975,Aston Villa v Manchester United,W,1-2,League Cup
11 Oct 1975,Leeds United v Manchester United,W,1-2,League Division One
18 Oct 1975,Manchester United v Arsenal,W,3-1,League Division One
25 Oct 1975,West Ham United v Manchester United,L,2-1,League Division One
01 Nov 1975,Manchester United v Norwich City,W,1-0,League Division One
08 Nov 1975,Liverpool v Manchester United,L,3-1,League Division One
12 Nov 1975,Manchester City v Manchester United,L,4-0,League Cup
15 Nov 1975,Manchester United v Aston Villa,W,2-0,League Division One
22 Nov 1975,Arsenal v Manchester United,L,3-1,League Division One
29 Nov 1975,Manchester United v Newcastle United,W,1-0,League Division One
06 Dec 1975,Middlesbrough v Manchester United,D,0-0,League Division One
13 Dec 1975,Sheffield United v Manchester United,W,1-4,League Division One
20 Dec 1975,Manchester United v Wolverhampton Wanderers,W,1-0,League Division One
23 Dec 1975,Everton v Manchester United,D,1-1,League Division One
27 Dec 1975,Manchester United v Burnley,W,2-1,League Division One
03 Jan 1976,Manchester United v Oxford United,W,2-1,FA Cup
10 Jan 1976,Manchester United v Queens Park Rangers,W,2-1,League Division One
17 Jan 1976,Tottenham Hotspur v Manchester United,D,1-1,League Division One
24 Jan 1976,Manchester United v Peterborough United,W,3-1,FA Cup
31 Jan 1976,Manchester United v Birmingham City,W,3-1,League Division One
07 Feb 1976,Coventry City v Manchester United,D,1-1,League Division One
14 Feb 1976,Leicester City v Manchester United,W,1-2,FA Cup
18 Feb 1976,Manchester United v Liverpool,D,0-0,League Division One
21 Feb 1976,Aston Villa v Manchester United,L,2-1,League Division One
25 Feb 1976,Manchester United v Derby County,D,1-1,League Division One
28 Feb 1976,Manchester United v West Ham United,W,4-0,League Division One
06 Mar 1976,Manchester United v Wolverhampton Wanderers,D,1-1,FA Cup
09 Mar 1976,Wolverhampton Wanderers v Manchester United,W,2-3,FA Cup
13 Mar 1976,Manchester United v Leeds United,W,3-2,League Division One
17 Mar 1976,Norwich City v Manchester United,D,1-1,League Division One
20 Mar 1976,Newcastle United v Manchester United,W,3-4,League Division One
27 Mar 1976,Manchester United v Middlesbrough,W,3-0,League Division One
03 Apr 1976,Derby County v Manchester United,W,0-2,FA Cup
10 Apr 1976,Ipswich Town v Manchester United,L,3-0,League Division One
17 Apr 1976,Manchester United v Everton,W,2-1,League Division One
19 Apr 1976,Burnley v Manchester United,W,0-1,League Division One
21 Apr 1976,Manchester United v Stoke City,L,0-1,League Division One
24 Apr 1976,Leicester City v Manchester United,L,2-1,League Division One
01 May 1976,Manchester United v Southampton,L,0-1,FA Cup
04 May 1976,Manchester United v Manchester City,W,2-0,League Division One
