Date,Match,Result,Score,Competition
01 Sep 1896,Newton Heath v Gainsborough Trinity,W,2-0,League Division Two
05 Sep 1896,Burton Swifts v Newton Heath,W,3-5,League Division Two
07 Sep 1896,Newton Heath v Walsall,W,2-0,League Division Two
12 Sep 1896,Newton Heath v Lincoln City,W,3-1,League Division Two
19 Sep 1896,Grimsby Town v Newton Heath,L,2-0,League Division Two
21 Sep 1896,Walsall v Newton Heath,W,2-3,League Division Two
26 Sep 1896,Newton Heath v Newcastle United,W,4-0,League Division Two
03 Oct 1896,Manchester City v Newton Heath,D,0-0,League Division Two
10 Oct 1896,Newton Heath v Small Heath,D,1-1,League Division Two
17 Oct 1896,Blackpool v Newton Heath,L,4-2,League Division Two
21 Oct 1896,Gainsborough Trinity v Newton Heath,L,2-0,League Division Two
24 Oct 1896,Newton Heath v Burton Wanderers,W,3-0,League Division Two
07 Nov 1896,Newton Heath v Grimsby Town,W,4-2,League Division Two
28 Nov 1896,Small Heath v Newton Heath,L,1-0,League Division Two
12 Dec 1896,Newton Heath v West Manchester,W,7-0,FA Cup
19 Dec 1896,Notts County v Newton Heath,L,3-0,League Division Two
25 Dec 1896,Newton Heath v Manchester City,W,2-1,League Division Two
26 Dec 1896,Newton Heath v Blackpool,W,2-0,League Division Two
28 Dec 1896,Leicester Fosse v Newton Heath,L,1-0,League Division Two
01 Jan 1897,Newcastle United v Newton Heath,L,2-0,League Division Two
02 Jan 1897,Newton Heath v Nelson,W,3-0,FA Cup
09 Jan 1897,Newton Heath v Burton Swifts,D,1-1,League Division Two
16 Jan 1897,Newton Heath v Blackpool,D,2-2,FA Cup
20 Jan 1897,Blackpool v Newton Heath,W,1-2,FA Cup
30 Jan 1897,Newton Heath v Kettering Town,W,5-1,FA Cup
06 Feb 1897,Newton Heath v Loughborough,W,6-0,League Division Two
13 Feb 1897,Southampton v Newton Heath,D,1-1,FA Cup
17 Feb 1897,Newton Heath v Southampton,W,3-1,FA Cup
20 Feb 1897,Newton Heath v Leicester Fosse,W,2-1,League Division Two
27 Feb 1897,Derby County v Newton Heath,L,2-0,FA Cup
02 Mar 1897,Newton Heath v Darwen,W,3-1,League Division Two
13 Mar 1897,Darwen v Newton Heath,W,0-2,League Division Two
20 Mar 1897,Burton Wanderers v Newton Heath,W,1-2,League Division Two
22 Mar 1897,Newton Heath v Woolwich Arsenal,D,1-1,League Division Two
27 Mar 1897,Newton Heath v Notts County,D,1-1,League Division Two
01 Apr 1897,Lincoln City v Newton Heath,W,1-3,League Division Two
03 Apr 1897,Woolwich Arsenal v Newton Heath,W,0-2,League Division Two
10 Apr 1897,Loughborough v Newton Heath,L,2-0,League Division Two
19 Apr 1897,Burnley v Manchester United,L,2-0,Test Match
21 Apr 1897,Manchester United v Burnley,W,2-0,Test Match
24 Apr 1897,Manchester United v Sunderland,D,1-1,Test Match
26 Apr 1897,Sunderland v Manchester United,L,2-0,Test Match
