Date,Match,Result,Score,Competition
20 Aug 1960,Manchester United v Blackburn Rovers,L,1-3,League Division One
24 Aug 1960,Everton v Manchester United,L,4-0,League Division One
31 Aug 1960,Manchester United v Everton,W,4-0,League Division One
03 Sep 1960,Tottenham Hotspur v Manchester United,L,4-1,League Division One
05 Sep 1960,West Ham United v Manchester United,L,2-1,League Division One
10 Sep 1960,Manchester United v Leicester City,D,1-1,League Division One
14 Sep 1960,Manchester United v West Ham United,W,6-1,League Division One
17 Sep 1960,Aston Villa v Manchester United,L,3-1,League Division One
24 Sep 1960,Manchester United v Wolverhampton Wanderers,L,1-3,League Division One
01 Oct 1960,Bolton Wanderers v Manchester United,D,1-1,League Division One
15 Oct 1960,Burnley v Manchester United,L,5-3,League Division One
19 Oct 1960,Exeter City v Manchester United,D,1-1,League Cup
22 Oct 1960,Manchester United v Newcastle United,W,3-2,League Division One
24 Oct 1960,Manchester United v Nottingham Forest,W,2-1,League Division One
26 Oct 1960,Manchester United v Exeter City,W,4-1,League Cup
29 Oct 1960,Arsenal v Manchester United,L,2-1,League Division One
02 Nov 1960,Bradford City v Manchester United,L,2-1,League Cup
05 Nov 1960,Manchester United v Sheffield Wednesday,D,0-0,League Division One
12 Nov 1960,Birmingham City v Manchester United,L,3-1,League Division One
19 Nov 1960,Manchester United v West Bromwich Albion,W,3-0,League Division One
26 Nov 1960,Cardiff City v Manchester United,L,3-0,League Division One
03 Dec 1960,Manchester United v Preston North End,W,1-0,League Division One
10 Dec 1960,Fulham v Manchester United,D,4-4,League Division One
17 Dec 1960,Blackburn Rovers v Manchester United,W,1-2,League Division One
24 Dec 1960,Chelsea v Manchester United,W,1-2,League Division One
26 Dec 1960,Manchester United v Chelsea,W,6-0,League Division One
31 Dec 1960,Manchester United v Manchester City,W,5-1,League Division One
07 Jan 1961,Manchester United v Middlesbrough,W,3-0,FA Cup
16 Jan 1961,Manchester United v Tottenham Hotspur,W,2-0,League Division One
21 Jan 1961,Leicester City v Manchester United,L,6-0,League Division One
28 Jan 1961,Sheffield Wednesday v Manchester United,D,1-1,FA Cup
01 Feb 1961,Manchester United v Sheffield Wednesday,L,2-7,FA Cup
04 Feb 1961,Manchester United v Aston Villa,D,1-1,League Division One
11 Feb 1961,Wolverhampton Wanderers v Manchester United,L,2-1,League Division One
18 Feb 1961,Manchester United v Bolton Wanderers,W,3-1,League Division One
25 Feb 1961,Nottingham Forest v Manchester United,L,3-2,League Division One
04 Mar 1961,Manchester City v Manchester United,W,1-3,League Division One
11 Mar 1961,Newcastle United v Manchester United,D,1-1,League Division One
18 Mar 1961,Manchester United v Arsenal,D,1-1,League Division One
25 Mar 1961,Sheffield Wednesday v Manchester United,L,5-1,League Division One
31 Mar 1961,Blackpool v Manchester United,L,2-0,League Division One
01 Apr 1961,Manchester United v Fulham,W,3-1,League Division One
03 Apr 1961,Manchester United v Blackpool,W,2-0,League Division One
08 Apr 1961,West Bromwich Albion v Manchester United,D,1-1,League Division One
12 Apr 1961,Manchester United v Burnley,W,6-0,League Division One
15 Apr 1961,Manchester United v Birmingham City,W,4-1,League Division One
22 Apr 1961,Preston North End v Manchester United,W,2-4,League Division One
29 Apr 1961,Manchester United v Cardiff City,D,3-3,League Division One
