Date,Match,Result,Score,Competition
06 Sep 1913,Sheffield Wednesday v Manchester United,W,1-3,League Division One
08 Sep 1913,Manchester United v Sunderland,W,3-1,League Division One
13 Sep 1913,Manchester United v Bolton Wanderers,L,0-1,League Division One
20 Sep 1913,Chelsea v Manchester United,W,0-2,League Division One
27 Sep 1913,Manchester United v Oldham Athletic,W,4-1,League Division One
04 Oct 1913,Manchester United v Tottenham Hotspur,W,3-1,League Division One
11 Oct 1913,Burnley v Manchester United,W,1-2,League Division One
18 Oct 1913,Manchester United v Preston North End,W,3-0,League Division One
25 Oct 1913,Newcastle United v Manchester United,W,0-1,League Division One
01 Nov 1913,Manchester United v Liverpool,W,3-0,League Division One
08 Nov 1913,Aston Villa v Manchester United,L,3-1,League Division One
15 Nov 1913,Manchester United v Middlesbrough,L,0-1,League Division One
22 Nov 1913,Sheffield United v Manchester United,L,2-0,League Division One
29 Nov 1913,Manchester United v Derby County,D,3-3,League Division One
06 Dec 1913,Manchester City v Manchester United,W,0-2,League Division One
13 Dec 1913,Manchester United v Bradford City,D,1-1,League Division One
20 Dec 1913,Blackburn Rovers v Manchester United,W,0-1,League Division One
25 Dec 1913,Manchester United v Everton,L,0-1,League Division One
26 Dec 1913,Everton v Manchester United,L,5-0,League Division One
27 Dec 1913,Manchester United v Sheffield Wednesday,W,2-1,League Division One
01 Jan 1914,Manchester United v West Bromwich Albion,W,1-0,League Division One
03 Jan 1914,Bolton Wanderers v Manchester United,L,6-1,League Division One
10 Jan 1914,Swindon Town v Manchester United,L,1-0,FA Cup
17 Jan 1914,Manchester United v Chelsea,L,0-1,League Division One
24 Jan 1914,Oldham Athletic v Manchester United,D,2-2,League Division One
07 Feb 1914,Tottenham Hotspur v Manchester United,L,2-1,League Division One
14 Feb 1914,Manchester United v Burnley,L,0-1,League Division One
21 Feb 1914,Middlesbrough v Manchester United,L,3-1,League Division One
28 Feb 1914,Manchester United v Newcastle United,D,2-2,League Division One
05 Mar 1914,Preston North End v Manchester United,L,4-2,League Division One
14 Mar 1914,Manchester United v Aston Villa,L,0-6,League Division One
04 Apr 1914,Derby County v Manchester United,L,4-2,League Division One
10 Apr 1914,Sunderland v Manchester United,L,2-0,League Division One
11 Apr 1914,Manchester United v Manchester City,L,0-1,League Division One
13 Apr 1914,West Bromwich Albion v Manchester United,L,2-1,League Division One
15 Apr 1914,Liverpool v Manchester United,W,1-2,League Division One
18 Apr 1914,Bradford City v Manchester United,D,1-1,League Division One
22 Apr 1914,Manchester United v Sheffield United,W,2-1,League Division One
25 Apr 1914,Manchester United v Blackburn Rovers,D,0-0,League Division One
