Date,Match,Result,Score,Competition
21 Aug 1976,Manchester United v Birmingham City,D,2-2,League Division One
24 Aug 1976,Coventry City v Manchester United,W,0-2,League Division One
28 Aug 1976,Derby County v Manchester United,D,0-0,League Division One
01 Sep 1976,Manchester United v Tranmere Rovers,W,5-0,League Cup
04 Sep 1976,Manchester United v Tottenham Hotspur,L,2-3,League Division One
11 Sep 1976,Newcastle United v Manchester United,D,2-2,League Division One
15 Sep 1976,Ajax v Manchester United,L,1-0,UEFA Cup
18 Sep 1976,Manchester United v Middlesbrough,W,2-0,League Division One
22 Sep 1976,Manchester United v Sunderland,D,2-2,League Cup
25 Sep 1976,Manchester City v Manchester United,W,1-3,League Division One
29 Sep 1976,Manchester United v Ajax,W,2-0Agg: 2-1,UEFA Cup
02 Oct 1976,Leeds United v Manchester United,W,0-2,League Division One
04 Oct 1976,Sunderland v Manchester United,D,2-2,League Cup
06 Oct 1976,Manchester United v Sunderland,W,1-0,League Cup
16 Oct 1976,West Bromwich Albion v Manchester United,L,4-0,League Division One
20 Oct 1976,Manchester United v Juventus,W,1-0,UEFA Cup
23 Oct 1976,Manchester United v Norwich City,D,2-2,League Division One
27 Oct 1976,Manchester United v Newcastle United,W,7-2,League Cup
30 Oct 1976,Manchester United v Ipswich Town,L,0-1,League Division One
03 Nov 1976,Juventus v Manchester United,L,3-0Agg: 3-1,UEFA Cup
06 Nov 1976,Aston Villa v Manchester United,L,3-2,League Division One
10 Nov 1976,Manchester United v Sunderland,D,3-3,League Division One
20 Nov 1976,Leicester City v Manchester United,D,1-1,League Division One
27 Nov 1976,Manchester United v West Ham United,L,0-2,League Division One
01 Dec 1976,Manchester United v Everton,L,0-3,League Cup
18 Dec 1976,Arsenal v Manchester United,L,3-1,League Division One
27 Dec 1976,Manchester United v Everton,W,4-0,League Division One
01 Jan 1977,Manchester United v Aston Villa,W,2-0,League Division One
03 Jan 1977,Ipswich Town v Manchester United,L,2-1,League Division One
08 Jan 1977,Manchester United v Walsall,W,1-0,FA Cup
15 Jan 1977,Manchester United v Coventry City,W,2-0,League Division One
19 Jan 1977,Manchester United v Bristol City,W,2-1,League Division One
22 Jan 1977,Birmingham City v Manchester United,W,2-3,League Division One
29 Jan 1977,Manchester United v Queens Park Rangers,W,1-0,FA Cup
05 Feb 1977,Manchester United v Derby County,W,3-1,League Division One
12 Feb 1977,Tottenham Hotspur v Manchester United,W,1-3,League Division One
16 Feb 1977,Manchester United v Liverpool,D,0-0,League Division One
19 Feb 1977,Manchester United v Newcastle United,W,3-1,League Division One
26 Feb 1977,Southampton v Manchester United,D,2-2,FA Cup
05 Mar 1977,Manchester United v Manchester City,W,3-1,League Division One
08 Mar 1977,Manchester United v Southampton,W,2-1,FA Cup
12 Mar 1977,Manchester United v Leeds United,W,1-0,League Division One
19 Mar 1977,Manchester United v Aston Villa,W,2-1,FA Cup
23 Mar 1977,Manchester United v West Bromwich Albion,D,2-2,League Division One
02 Apr 1977,Norwich City v Manchester United,L,2-1,League Division One
05 Apr 1977,Everton v Manchester United,W,1-2,League Division One
09 Apr 1977,Manchester United v Stoke City,W,3-0,League Division One
11 Apr 1977,Sunderland v Manchester United,L,2-1,League Division One
16 Apr 1977,Manchester United v Leicester City,D,1-1,League Division One
19 Apr 1977,Queens Park Rangers v Manchester United,L,4-0,League Division One
23 Apr 1977,Leeds United v Manchester United,W,1-2,FA Cup
26 Apr 1977,Middlesbrough v Manchester United,L,3-0,League Division One
30 Apr 1977,Manchester United v Queens Park Rangers,W,1-0,League Division One
03 May 1977,Liverpool v Manchester United,L,1-0,League Division One
07 May 1977,Bristol City v Manchester United,D,1-1,League Division One
11 May 1977,Stoke City v Manchester United,D,3-3,League Division One
14 May 1977,Manchester United v Arsenal,W,3-2,League Division One
16 May 1977,West Ham United v Manchester United,L,4-2,League Division One
21 May 1977,Liverpool v Manchester United,W,1-2,FA Cup
