Date,Match,Result,Score,Competition
02 Sep 1914,Manchester United v Oldham Athletic,L,1-3,League Division One
05 Sep 1914,Manchester United v Manchester City,D,0-0,League Division One
12 Sep 1914,Bolton Wanderers v Manchester United,L,3-0,League Division One
19 Sep 1914,Manchester United v Blackburn Rovers,W,2-0,League Division One
26 Sep 1914,Notts County v Manchester United,L,4-2,League Division One
03 Oct 1914,Manchester United v Sunderland,W,3-0,League Division One
10 Oct 1914,Sheffield Wednesday v Manchester United,L,1-0,League Division One
17 Oct 1914,Manchester United v West Bromwich Albion,D,0-0,League Division One
24 Oct 1914,Everton v Manchester United,L,4-2,League Division One
31 Oct 1914,Manchester United v Chelsea,D,2-2,League Division One
07 Nov 1914,Bradford City v Manchester United,L,4-2,League Division One
14 Nov 1914,Manchester United v Burnley,L,0-2,League Division One
21 Nov 1914,Tottenham Hotspur v Manchester United,L,2-0,League Division One
28 Nov 1914,Manchester United v Newcastle United,W,1-0,League Division One
05 Dec 1914,Middlesbrough v Manchester United,D,1-1,League Division One
12 Dec 1914,Manchester United v Sheffield United,L,1-2,League Division One
19 Dec 1914,Aston Villa v Manchester United,D,3-3,League Division One
26 Dec 1914,Liverpool v Manchester United,D,1-1,League Division One
01 Jan 1915,Manchester United v Bradford Park Avenue,L,1-2,League Division One
02 Jan 1915,Manchester City v Manchester United,D,1-1,League Division One
09 Jan 1915,Sheffield Wednesday v Manchester United,L,1-0,FA Cup
16 Jan 1915,Manchester United v Bolton Wanderers,W,4-1,League Division One
23 Jan 1915,Blackburn Rovers v Manchester United,D,3-3,League Division One
30 Jan 1915,Manchester United v Notts County,D,2-2,League Division One
06 Feb 1915,Sunderland v Manchester United,L,1-0,League Division One
13 Feb 1915,Manchester United v Sheffield Wednesday,W,2-0,League Division One
20 Feb 1915,West Bromwich Albion v Manchester United,D,0-0,League Division One
27 Feb 1915,Manchester United v Everton,L,1-2,League Division One
13 Mar 1915,Manchester United v Bradford City,W,1-0,League Division One
20 Mar 1915,Burnley v Manchester United,L,3-0,League Division One
27 Mar 1915,Manchester United v Tottenham Hotspur,D,1-1,League Division One
02 Apr 1915,Manchester United v Liverpool,W,2-0,League Division One
03 Apr 1915,Newcastle United v Manchester United,L,2-0,League Division One
05 Apr 1915,Bradford Park Avenue v Manchester United,L,5-0,League Division One
06 Apr 1915,Oldham Athletic v Manchester United,L,1-0,League Division One
10 Apr 1915,Manchester United v Middlesbrough,D,2-2,League Division One
17 Apr 1915,Sheffield United v Manchester United,L,3-1,League Division One
19 Apr 1915,Chelsea v Manchester United,W,1-3,League Division One
26 Apr 1915,Manchester United v Aston Villa,W,1-0,League Division One
