Date,Match,Result,Score,Competition
01 Sep 1910,Woolwich Arsenal v Manchester United,W,1-2,League Division One
03 Sep 1910,Manchester United v Blackburn Rovers,W,3-2,League Division One
10 Sep 1910,Nottingham Forest v Manchester United,L,2-1,League Division One
17 Sep 1910,Manchester United v Manchester City,W,2-1,League Division One
24 Sep 1910,Everton v Manchester United,W,0-1,League Division One
01 Oct 1910,Manchester United v Sheffield Wednesday,W,3-2,League Division One
08 Oct 1910,Bristol City v Manchester United,W,0-1,League Division One
15 Oct 1910,Manchester United v Newcastle United,W,2-0,League Division One
22 Oct 1910,Tottenham Hotspur v Manchester United,D,2-2,League Division One
29 Oct 1910,Manchester United v Middlesbrough,L,1-2,League Division One
05 Nov 1910,Preston North End v Manchester United,W,0-2,League Division One
12 Nov 1910,Manchester United v Notts County,D,0-0,League Division One
19 Nov 1910,Oldham Athletic v Manchester United,W,1-3,League Division One
26 Nov 1910,Liverpool v Manchester United,L,3-2,League Division One
03 Dec 1910,Manchester United v Bury,W,3-2,League Division One
10 Dec 1910,Sheffield United v Manchester United,L,2-0,League Division One
17 Dec 1910,Manchester United v Aston Villa,W,2-0,League Division One
24 Dec 1910,Sunderland v Manchester United,W,1-2,League Division One
26 Dec 1910,Manchester United v Woolwich Arsenal,W,5-0,League Division One
27 Dec 1910,Bradford City v Manchester United,L,1-0,League Division One
31 Dec 1910,Blackburn Rovers v Manchester United,L,1-0,League Division One
02 Jan 1911,Manchester United v Bradford City,W,1-0,League Division One
07 Jan 1911,Manchester United v Nottingham Forest,W,4-2,League Division One
14 Jan 1911,Blackpool v Manchester United,W,1-2,FA Cup
21 Jan 1911,Manchester City v Manchester United,D,1-1,League Division One
28 Jan 1911,Manchester United v Everton,D,2-2,League Division One
04 Feb 1911,Manchester United v Aston Villa,W,2-1,FA Cup
11 Feb 1911,Manchester United v Bristol City,W,3-1,League Division One
18 Feb 1911,Newcastle United v Manchester United,W,0-1,League Division One
25 Feb 1911,West Ham United v Manchester United,L,2-1,FA Cup
04 Mar 1911,Middlesbrough v Manchester United,D,2-2,League Division One
11 Mar 1911,Manchester United v Preston North End,W,5-0,League Division One
15 Mar 1911,Manchester United v Tottenham Hotspur,W,3-2,League Division One
18 Mar 1911,Notts County v Manchester United,L,1-0,League Division One
25 Mar 1911,Manchester United v Oldham Athletic,D,0-0,League Division One
01 Apr 1911,Manchester United v Liverpool,W,2-0,League Division One
08 Apr 1911,Bury v Manchester United,W,0-3,League Division One
15 Apr 1911,Manchester United v Sheffield United,D,1-1,League Division One
17 Apr 1911,Sheffield Wednesday v Manchester United,D,0-0,League Division One
22 Apr 1911,Aston Villa v Manchester United,L,4-2,League Division One
29 Apr 1911,Manchester United v Sunderland,W,5-1,League Division One
