name,club,periods
Xuxa,Mirassol Futebol Clube (SP),"2011-2011, 2012-2012, 2014-2014, 2016-2017, 2018-2018"
Camilo,Mirassol Futebol Clube (SP),"2013-2013, 2020-2020, 2022-2024"
Zé Roberto,Mirassol Futebol Clube (SP),"2018-2018, 2019-2019, 2019-2020, 2020-2020, 2020-2020, 2020-2020, 2023-2023, 2023-2023"
Fabrício Daniel,Mirassol Futebol Clube (SP),"2020-2021, 2021-2022, 2025-2025"
Dellatorre,Mirassol Futebol Clube (SP),"2020-2020, 2024-2025"
Gabriel,Mirassol Futebol Clube (SP),2023-2025
Negueba,Mirassol Futebol Clube (SP),2021-2025
Iury Castilho,Mirassol Futebol Clube (SP),2024-2025
Chico Kim,Mirassol Futebol Clube (SP),"2020-2020, 2023-2025"
Luis Ricardo,Mirassol Futebol Clube (SP),2009-2009
Vinicius Mingotti,Mirassol Futebol Clube (SP),2022-2022
Henrique Dias,Mirassol Futebol Clube (SP),2011-2012
Éder,Mirassol Futebol Clube (SP),"2009-2009, 2010-2010"
Fernandinho,Mirassol Futebol Clube (SP),2023-2025
Kauan,Mirassol Futebol Clube (SP),"2021-2024, 2024-2025"
Zeca,Mirassol Futebol Clube (SP),"2022-2022, 2022-2023"
João Carlos,Mirassol Futebol Clube (SP),2020-2021
Danielzinho,Mirassol Futebol Clube (SP),2023-2025
Luiz Otávio,Mirassol Futebol Clube (SP),"2020-2020, 2023-2025"
Léo Gamalho,Mirassol Futebol Clube (SP),2024-2025
Lucas Ramon,Mirassol Futebol Clube (SP),"2023-2024, 2024-2025"
Rafael Silva,Mirassol Futebol Clube (SP),"2019-2020, 2021-2021, 2021-2022, 2022-2022, 2022-2023, 2023-2023, 2023-2024, 2024-2025"
Lins,Mirassol Futebol Clube (SP),2010-2010
Evando,Mirassol Futebol Clube (SP),2010-2010
Caion,Mirassol Futebol Clube (SP),"2012-2012, 2012-2013, 2013-2013, 2013-2014"
Preto,Mirassol Futebol Clube (SP),2012-2012
Cássio Gabriel,Mirassol Futebol Clube (SP),2020-2021
Danilo Boza,Mirassol Futebol Clube (SP),"2019-2019, 2019-2019, 2019-2021, 2021-2022"
André Luis,Mirassol Futebol Clube (SP),"2013-2013, 2018-2018"
Pablo Escobar,Mirassol Futebol Clube (SP),2010-2010
Alison Mira,Mirassol Futebol Clube (SP),"2014-2015, 2016-2016, 2016-2017, 2017-2017, 2017-2018, 2018-2019"
Wesley,Mirassol Futebol Clube (SP),"2008-2009, 2009-2010, 2010-2011, 2014-2015"
Borebi,Mirassol Futebol Clube (SP),"2012-2012, 2012-2013"
Gustavo Bastos,Mirassol Futebol Clube (SP),2011-2011
Gustavo Henrique,Mirassol Futebol Clube (SP),2020-2021
Pará,Mirassol Futebol Clube (SP),2022-2023
Thalisson,Mirassol Futebol Clube (SP),"2022-2022, 2022-2024"
Leandro,Mirassol Futebol Clube (SP),2009-2009
Rodrigo Sam,Mirassol Futebol Clube (SP),"2022-2022, 2023-2024"
Léo Mineiro,Mirassol Futebol Clube (SP),2008-2008
Cristian Renato,Mirassol Futebol Clube (SP),"2022-2023, 2023-2024, 2024-2024, 2024-2025, 2025-2025"
Paulinho,Mirassol Futebol Clube (SP),"2018-2018, 2018-2019, 2022-2022, 2023-2023"
Wellington Amorim,Mirassol Futebol Clube (SP),2011-2011
Raphael Macena,Mirassol Futebol Clube (SP),2021-2021
França,Mirassol Futebol Clube (SP),2020-2021
Rodolfo,Mirassol Futebol Clube (SP),2019-2019
