name,club,periods
Ilija Spasojević,Bali United FC,2017-2024
Privat Mbarga,Bali United FC,2021-2025
Sylvano Comvalius,Bali United FC,2017-2017
Melvin Platje,Bali United FC,"2018-2021, 2021-2022"
Stefano Lilipaly,Bali United FC,2017-2022
Rahmat,Bali United FC,2020-2025
Fadil Sausu,Bali United FC,2015-2024
Éber Bessa,Bali United FC,2021-2024
Irfan Bachdim,Bali United FC,2017-2020
Jefferson,Bali United FC,2023-2024
Irfan Jaya,Bali United FC,2022-2025
Willian Pacheco,Bali United FC,2019-2023
Yabes Roni,Bali United FC,2015-2025
Marcos Flores,Bali United FC,2017-2018
Rahmat Arjuna,Bali United FC,2022-2025
Nick van der Velden,Bali United FC,2017-2019
Lerby,Bali United FC,"2015-2016, 2020-2023"
Boris Kopitovic,Bali United FC,2025-2025
Everton,Bali United FC,2024-2025
Ricky Fajrin,Bali United FC,"2015-2016, 2016-2025"
Novri Setiawan,Bali United FC,2022-2025
Made Tito,Bali United FC,2022-2025
Elias Dolah,Bali United FC,2023-2025
Mohammed Rashid,Bali United FC,2023-2024
Nyoman Sukarja,Bali United FC,2015-2020
Jajang Mulyana,Bali United FC,2022-2024
Mitsuru Maruoka,Bali United FC,2024-2025
Martinus Novianto,Bali United FC,"2015-2017, 2017-2017, 2018-2019, 2019-2020"
Made Wirahadi,Bali United FC,"2016-2017, 2017-2018"
Made Andhika,Bali United FC,2016-2025
Muhammad Taufiq,Bali United FC,"2017-2021, 2022-2022"
Haudi Abdillah,Bali United FC,2019-2024
Rizky Pellu,Bali United FC,2021-2023
Paulo Sérgio,Bali United FC,2019-2020
Yandi Sofyan,Bali United FC,2017-2019
Kadek Agung,Bali United FC,2018-2025
Leonard Tupamahu,Bali United FC,2019-2023
Kiko Insa,Bali United FC,2016-2016
Nemanja Vidakovic,Bali United FC,2016-2017
Miftahul Hamdi,Bali United FC,2016-2020
Byung-keon Ahn,Bali United FC,2016-2018
Gede Sukadana,Bali United FC,2016-2019
Agus Nova,Bali United FC,2016-2021
Gede Sunu,Bali United FC,2024-2025
Adi Parwa,Bali United FC,"2015-2016, 2016-2017, 2017-2017, 2017-2018, 2018-2019, 2019-2020"
Kenzo Nambu,Bali United FC,2024-2025
Brwa Nouri,Bali United FC,"2018-2021, 2021-2023"
Aldino,Bali United FC,2019-2020
Demerson,Bali United FC,2017-2018
Dallen Doke,Bali United FC,2018-2020
Lucas Patinho,Bali United FC,2016-2016
Hanis Saghara,Bali United FC,"2018-2020, 2020-2021"
Loudry Setiawan,Bali United FC,2015-2017
Brandon Wilson,Bali United FC,2024-2025
Taufik Hidayat,Bali United FC,2023-2025
Dias Angga,Bali United FC,2017-2022
Sandi Sute,Bali United FC,"2015-2015, 2023-2023"
Sidik Saimima,Bali United FC,2020-2025
Ramdani Lestaluhu,Bali United FC,2022-2024
Tegar Infantrie,Bali United FC,"2023-2024, 2025-2025"
Alsan Sanda,Bali United FC,2016-2017
Abduh Lestaluhu,Bali United FC,2022-2022
Hendra Sandi,Bali United FC,2015-2017
Fitrul Rustapa,Bali United FC,2024-2025
Kevin Brands,Bali United FC,2017-2018
Agung Mannan,Bali United FC,2025-2025
Bobby Satria,Bali United FC,2015-2017
Arapenta Poerba,Bali United FC,"2018-2018, 2018-2021"
Diego Assis,Bali United FC,2021-2021
Junius Bate,Bali United FC,"2015-2016, 2016-2017, 2017-2019, 2019-2019"
Samuel Reimas,Bali United FC,2019-2022
Komang Dedi,Bali United FC,2024-2025
Alfonsius Kelvan,Bali United FC,2017-2018
Amrun Mubarok,Bali United FC,"2017-2017, 2017-2018"
Steven Imbiri,Bali United FC,2017-2018
Kadek Dimas,Bali United FC,"2020-2021, 2022-2024"
Maouri Simon,Bali United FC,2024-2025
Anan Lestaluhu,Bali United FC,2019-2020
Rakasurya Handika,Bali United FC,"2019-2024, 2025-2025"
Feby Eka,Bali United FC,"2018-2019, 2019-2019"
Nathan Ari,Bali United FC,2024-2025
Kadek Lanang,Bali United FC,2024-2025
Novan Sasongko,Bali United FC,2018-2019
Samsul Pelu,Bali United FC,"2016-2017, 2018-2018"
Mochammad Dicky,Bali United FC,"2016-2017, 2017-2020"
Ryuji Utomo,Bali United FC,"2023-2024, 2025-2025"
Eky Taufik,Bali United FC,2022-2022
Hariono,Bali United FC,2020-2023
Made Wardana,Bali United FC,2017-2019
Gunawan Dwi Cahyo,Bali United FC,2019-2023
Luthfi Kamal,Bali United FC,2023-2025
Muhammad Ridho,Bali United FC,2022-2024
Michael Orah,Bali United FC,2019-2022
Hasim Kipuw,Bali United FC,2016-2018
Kadek Arel,Bali United FC,2023-2025
Jaime,Bali United FC,2025-2025
Fahmi Al-Ayyubi,Bali United FC,"2019-2021, 2022-2022"
Nadeo Argawinata,Bali United FC,2020-2023
