name,club,periods
Doris Fuakuputu,Al-Fateh SC,2010-2015
Élton,Al-Fateh SC,2011-2016
Mourad Batna,Al-Fateh SC,2020-2025
Hamdan Al-Hamdan,Al-Fateh SC,2004-2017
Sofiane Bendebka,Al-Fateh SC,2020-2025
Firas Al-Buraikan,Al-Fateh SC,2021-2023
Mitchell Te Vrede,Al-Fateh SC,2019-2021
Ahmad Boabeed,Al-Fateh SC,2014-2015
Ali Al-Zaqan,Al-Fateh SC,"2017-2017, 2017-2018, 2019-2022"
Rabea Al-Sofiani,Al-Fateh SC,
Abdelkader Oueslati,Al-Fateh SC,"2017-2017, 2017-2019"
Cristian Tello,Al-Fateh SC,2023-2024
Marwane Saadane,Al-Fateh SC,2019-2025
Christian Cueva,Al-Fateh SC,"2021-2023, 2023-2024"
Hamad Al-Juahaim,Al-Fateh SC,2015-2019
Djaniny,Al-Fateh SC,2023-2025
João Pedro,Al-Fateh SC,2017-2019
Hussain Al-Moqahwi,Al-Fateh SC,"2010-2014, 2022-2023"
Tawfiq Buhumaid,Al-Fateh SC,"2014-2017, 2019-2024"
Lucas Zelarayán,Al-Fateh SC,2023-2025
Ukra,Al-Fateh SC,2016-2017
Mohammed Majrashi,Al-Fateh SC,2019-2021
Nathan Júnior,Al-Fateh SC,2016-2018
Gustav Wikheim,Al-Fateh SC,"2019-2021, 2021-2022"
Faisal Al-Jamaan,Al-Fateh SC,"2008-2010, 2014-2015"
Ivan Santini,Al-Fateh SC,2021-2022
Ibrahim Chenihi,Al-Fateh SC,2018-2019
Bader Al-Nakhli,Al-Fateh SC,"2009-2010, 2010-2016"
Ahmad Al-Hderme,Al-Fateh SC,2009-2025
Saad Al-Sharfa,Al-Fateh SC,2023-2025
Ayman Al-Khulaif,Al-Fateh SC,2022-2023
Ramzy Ben Younes,Al-Fateh SC,2009-2011
Saith Sakala,Al-Fateh SC,"2017-2018, 2018-2019, 2019-2019, 2020-2020"
Salem Al-Najdi,Al-Fateh SC,2022-2024
Matías Aguirregaray,Al-Fateh SC,"2018-2019, 2019-2020"
Bader Al-Khames,Al-Fateh SC,2013-2014
Mohammed Al-Fuhaid,Al-Fateh SC,2009-2025
Majed Omar Kanabah,Al-Fateh SC,2019-2023
Alkhaly Bangoura,Al-Fateh SC,2018-2019
Abdulaziz Abushqra,Al-Fateh SC,2012-2017
Noah Al-Mousa,Al-Fateh SC,"2012-2018, 2018-2018, 2022-2025"
Nawaf Al-Boushal,Al-Fateh SC,2017-2023
Sasa Jovanovic,Al-Fateh SC,"2019-2019, 2020-2021"
Khalid Al-Ghannam,Al-Fateh SC,2023-2023
El Arbi Hillel Soudani,Al-Fateh SC,2021-2021
Abdulah Al-Bilady,Al-Fateh SC,"2014-2018, 2019-2019, 2020-2021"
Bashkim Kadrii,Al-Fateh SC,2020-2021
Mansour Hamzi,Al-Fateh SC,2018-2019
Ali Al-Hassan,Al-Fateh SC,2019-2020
Juan Falcón,Al-Fateh SC,2016-2016
Emmanuel Emmanuel,Al-Fateh SC,
Luís Leal,Al-Fateh SC,2016-2016
Mohammed Naji,Al-Fateh SC,2019-2021
Sayyaf Al-Bishi,Al-Fateh SC,2016-2017
Mohammed Al-Majhad,Al-Fateh SC,2017-2019
Matías Vargas,Al-Fateh SC,2025-2025
Abbas Al-Hassan,Al-Fateh SC,"2021-2022, 2023-2024"
Sandro Manoel,Al-Fateh SC,"2017-2017, 2017-2018"
Kemokho Cissoko,Al-Fateh SC,2011-2014
Abdullah El-Abdullah,Al-Fateh SC,
Petros,Al-Fateh SC,2022-2023
Husain Ali Baba,Al-Fateh SC,2014-2015
Abdullah Doshi,Al-Fateh SC,2015-2017
Abdullah Al-Dosari,Al-Fateh SC,"2011-2012, 2013-2015"
Lamjed Chehoudi,Al-Fateh SC,2017-2018
Majed Hazazi,Al-Fateh SC,2015-2019
Shafi Al-Dossari,Al-Fateh SC,2013-2015
Abdullah Al-Anazi,Al-Fateh SC,2023-2025
Amine Sbaï,Al-Fateh SC,2024-2025
Bader Al-Hagbani,Al-Fateh SC,2010-2011
Hussain Al-Nakhli,Al-Fateh SC,
Ammar Al-Dohaim,Al-Fateh SC,2020-2025
Mohammed Al-Shahrani,Al-Fateh SC,2011-2012
Michal Janota,Al-Fateh SC,2019-2020
Nzuzi Toko,Al-Fateh SC,2018-2019
Qasem Lajami,Al-Fateh SC,2019-2024
Mohamad Amman,Al-Fateh SC,2017-2018
Josimar,Al-Fateh SC,2015-2016
Matheus Machado,Al-Fateh SC,2025-2025
Mohamad Haidar,Al-Fateh SC,2014-2014
Mubark Al-Asmari,Al-Fateh SC,2012-2016
Ahmad Deeb,Al-Fateh SC,2014-2015
Ali Al-Masoud,Al-Fateh SC,2023-2025
Hassan Al-Salis,Al-Fateh SC,"2022-2024, 2024-2025"
Jason Denayer,Al-Fateh SC,2023-2025
Salam Shakir,Al-Fateh SC,2015-2016
Ali Lajami,Al-Fateh SC,2018-2020
Faysal Seef,Al-Fateh SC,
Ahmed Al-Mubarak,Al-Fateh SC,2015-2017
Ali Al-Zubaidi,Al-Fateh SC,2022-2024
Riyadh Sharahili,Al-Fateh SC,2015-2018
Ali Al-Bulayhi,Al-Fateh SC,2015-2017
Hani Al-Dobaini,Al-Fateh SC,
Sadek Al-Eid,Al-Fateh SC,
Ali Al-Jassem,Al-Fateh SC,2024-2025
Ibrahim Al-Talhi,Al-Fateh SC,2018-2019
Jamaan Al-Dosari,Al-Fateh SC,2019-2019
Ahmed Al Musa,Al-Fateh SC,2012-2013
Álex Valera,Al-Fateh SC,2022-2023
