name,club,periods
Preki,Sporting Kansas City,"1996-2001, 2002-2006"
Dom Dwyer,Sporting Kansas City,
Johnny Russell,Sporting Kansas City,
Dániel Sallói,Sporting Kansas City,
Davy Arnaud,Sporting Kansas City,2002-2016
Josh Wolff,Sporting Kansas City,"2003-2007, 2008-2013"
Chris Klein,Sporting Kansas City,1998-2006
Kei Kamara,Sporting Kansas City,2009-2025
Alan Pulido,Sporting Kansas City,
Graham Zusi,Sporting Kansas City,2009-2024
Benny Feilhaber,Sporting Kansas City,
Vitalis Takawira,Sporting Kansas City,1996-2000
Mo Johnston,Sporting Kansas City,1996-2002
Krisztián Németh,Sporting Kansas City,
Scott Sealy,Sporting Kansas City,2005-2008
Gerso,Sporting Kansas City,
Willy Agada,Sporting Kansas City,
C.J. Sapong,Sporting Kansas City,
Teal Bunbury,Sporting Kansas City,2010-2025
Mark Chung,Sporting Kansas City,1996-1998
Diego Rubio,Sporting Kansas City,
Felipe Gutiérrez,Sporting Kansas City,
Eddie Johnson,Sporting Kansas City,2006-2008
Jimmy Conrad,Sporting Kansas City,2002-2011
Miklos Molnar,Sporting Kansas City,2000-2002
Erik Thommy,Sporting Kansas City,
Matt McKeon,Sporting Kansas City,"1996-1998, 2000-2003"
Igor Simutenkov,Sporting Kansas City,2002-2005
Claudio Bieler,Sporting Kansas City,
Gadi Kinda,Sporting Kansas City,
Chris Brown,Sporting Kansas City,1999-2003
Aurélien Collin,Sporting Kansas City,
Jack Jewsbury,Sporting Kansas City,2003-2017
Khiry Shelton,Sporting Kansas City,
Claudio López,Sporting Kansas City,2008-2010
Jacob Peterson,Sporting Kansas City,
Róger Espinoza,Sporting Kansas City,2008-2024
José Burciaga,Sporting Kansas City,2001-2008
Ike Opara,Sporting Kansas City,
Chris Henderson,Sporting Kansas City,1999-2001
Francisco Gómez,Sporting Kansas City,1999-2004
Sasha Victorine,Sporting Kansas City,2005-2008
Soony Saad,Sporting Kansas City,
Paul Wright,Sporting Kansas City,1996-1999
Ilie Sánchez,Sporting Kansas City,
Rémi Walter,Sporting Kansas City,
Omar Bravo,Sporting Kansas City,
Frank Klopas,Sporting Kansas City,1996-1998
Kerry Zavagnin,Sporting Kansas City,2000-2008
Felipe Hernández,Sporting Kansas City,
Gianluca Busio,Sporting Kansas City,
Yohan Croizet,Sporting Kansas City,
Kevin Ellis,Sporting Kansas City,
Paulo Nagamura,Sporting Kansas City,
Darío Fabbro,Sporting Kansas City,2002-2003
Erik Hurtado,Sporting Kansas City,
Roy Lassiter,Sporting Kansas City,2001-2001
Dany Rosero,Sporting Kansas City,
Onandi Lowe,Sporting Kansas City,"2001-2001, 2002-2002"
Stephen Afrifa,Sporting Kansas City,
Marinos Tzionis,Sporting Kansas City,
Latif Blessing,Sporting Kansas City,
Birahim Diop,Sporting Kansas City,2010-2012
Gary Glasgow,Sporting Kansas City,2000-2002
Michael Harrington,Sporting Kansas City,2007-2018
Jimmy Medranda,Sporting Kansas City,
Paul Rideout,Sporting Kansas City,1998-1999
Lawrence Olum,Sporting Kansas City,
Yura Movsisyan,Sporting Kansas City,2006-2008
Stephen Armstrong,Sporting Kansas City,2003-2005
Diego Gutiérrez,Sporting Kansas City,"1996-1997, 2002-2006"
Toni Dovale,Sporting Kansas City,
Seth Sinovic,Sporting Kansas City,
Alexi Lalas,Sporting Kansas City,1999-1999
Alex Bunbury,Sporting Kansas City,1999-2001
Sean Bowers,Sporting Kansas City,1996-2000
Mike Sorber,Sporting Kansas City,1996-1997
Ryan Pore,Sporting Kansas City,2005-2008
Eric Quill,Sporting Kansas City,2002-2004
Iván Trujillo,Sporting Kansas City,2008-2009
Cristian Lobato,Sporting Kansas City,
Carey Talley,Sporting Kansas City,2002-2004
Ryan Smith,Sporting Kansas City,2010-2025
Robert Castellanos,Sporting Kansas City,
Matthew Taylor,Sporting Kansas City,2004-2004
Dave van den Bergh,Sporting Kansas City,2006-2007
Brad Davis,Sporting Kansas City,
Alan Prampin,Sporting Kansas City,1996-1996
Memo Rodríguez,Sporting Kansas City,
Jake Davis,Sporting Kansas City,
Cameron Duke,Sporting Kansas City,
Andreu Fontàs,Sporting Kansas City,
Júlio César,Sporting Kansas City,
Ryan Tinsley,Sporting Kansas City,1997-1999
Alex Zotincă,Sporting Kansas City,2003-2007
Matt Besler,Sporting Kansas City,2009-2022
Uche Okafor,Sporting Kansas City,1996-2001
Logan Ndenbe,Sporting Kansas City,
Michael Kraus,Sporting Kansas City,2007-2010
Alenis Vargas,Sporting Kansas City,
